Abhijit Naskar, Wise Mating: A Treatise on Monogamy|Sex is only a tool in love, not love itself.
Wisława Szymborska|I listened long to your story,Listened but could not hear.When you chose to walk that path so overgrown,I remained alone with my fear.Cold silence covers the distance,Stretches from shore to shore.I follow in my mind your far-off journeying,But I will walk that path no more.
Dean C. Moore, Karma Chameleon|When people did stupid things around him, that was usually the last thing they did.
Olaotan Fawehinmi, The Soldier Within|Success, Bill Gates said, is a lousy teacher. It seduces smart people into thinking they can't lose.Same goes for good looking people. Beauty reduces the consciousness that it takes more to catch the heart of the right partner.We often think being good at one thing is all we need to succeed, but hey, success is less of what you are good at, but more of what you are good for.Of what use is beauty with no brains, culture without character, knowledge that does not impact, or skill that does not add value?For any seemingly "good" thing to last, great attention we must pay to the unseen intrinsic component that sustains it.
merlin8thomas|GOD PUNISHES NOT FOR WORLD TO LAUGH,I AM NOT A EMOTIONLESS PAPER OF GRAPH,EVEN I AM NOT THE WORLD'S STAFF,DON'T ANGRY THINKING ME A CALF.
Umberto Eco, The Prague Cemetery|It started long before this, when stars were mere particles in swirling clouds of dust. And every event since has conspired to bring us together.
Alone Together Why We Expect More from Technology and Less from Each Other|Pete says that his online marriage is an essential part of his "life mix." I ask him about this expression. I have never heard it before. Pete explains that the life mix is the mash-up of what you have on- and offline. Now, we ask not of our satisfactions in life but in our life mix. We have moved from multitasking to multi-lifing.
Gino Segrè, Ordinary Geniuses: Max Delbruck, George Gamow, and the Origins of Genomics andBig Bang Cosmology|Some individuals have the courage to make it, even feel the need to do so; for them the quest is a necessity, not an option. Most people setting out on such journeys are never heard from again, but part of the romance of any field lies in keeping the dream alive, in not settling for what is familiar and comfortable.
Isaac Asimov, The Caves of Steel|I cannot read God's mind, however I can read God's Word.
Kevin Hearne, Trapped|Life is not interested in good and evil. Don Quixote was constantly choosing between good and evil, but then he was choosing in his dream state. He was mad. He entered reality only when he was so busy trying to cope with people that he had no time to distinguish between good and evil. Since people exist only in life, they must devote their time simply to being alive. Life is motion, and motion is concerned with what makes man move—which is ambition, power, pleasure. What time a man can devote to morality, he must take by force from the motion of which he is a part. He is compelled to make choices between good and evil sooner or later, because moral conscience demands that from him in order that he can live with himself tomorrow. His moral conscience is the curse he had to accept from the gods in order to gain from them the right to dream.
Pedro Okoro, Crushing the Devil: Your Guide to Spiritual Warfare and Victory in Christ|I too was pinched off from a piece of clay, I too modeled by omnipotence and flankedby things too wonderful for me
Sarah Hall, The Electric Michelangelo|Do you prefer fermented or distilled?This is a trick question. It doesn’t matter how much you like wine, because wine is social and writing is anti-social. This is a writer’s interview, writing is a lonely job, and spirits are the lubricant of the lonely. You might say all drinking is supposed to be social but there’s a difference, at one in the morning while you’re hunched over your computer, between opening up a bottle of Chardonnay and pouring two-fingers of bourbon into a tumbler. A gin martini, of course, splits the difference nicely, keeping you from feeling like a deadline reporter with a smoldering cigarette while still reminding you that your job is to be interesting for a living. Anyone who suggests you can make a martini with vodka, by the way, is probably in need of electroconvulsive therapy.
