L.J. Vanier|Because the best gift in life, is just having someone to drink hot chocolate with
Taylor Swift|I would love to continue in music, with writing... but I am not the kind of person who will hang around if I start to become irrelevant. If that happens, I will bow down gracefully, raise my kids, and have a garden. And I am going to let my hair go gray when I am older. I don't need to be blonde when I'm 60!
xxSkemoxx183, Lupus Deus|The art of seduction should be from within yourself, not from your outer appearance. If whoever you're doing this for doesn't realize that... then, honey, you're seducing the wrong person.
Torron-Lee Dewar, 50 Ways to Become a Better Choreographer|Every dance you make belongs to you. It is part of your collection. When you think of it like that, you'll want to make your next routine the best you've ever made!
Toni Sorenson|Nutrition matters for everybody, but you can’t major in it at Harvard. Most top scientists go into other fields. Most of the big studies were done 30 or 40 years ago, and most are seriously flawed. The food pyramid that told us to eat low fat and enormous amounts of grains was probably more a product of lobbying by Big Food than real science; its chief impact has been to aggravate our obesity epidemic. There’s plenty more to learn: we know more about the physics of faraway stars than we know about human nutrition. It won’t be easy, but it’s not obviously impossible: exactly the kind of field that could yield secrets.
J.R.R. Tolkien, The Two Towers|Champions do not become champions when they win the event, but in the hours, weeks, months and years they spend preparing for it. The victorious performance itself is merely the demonstration of their championship character.
Hanif Hassan Barbhuiya|Fortune frowns as often as he smiles, and you don’t want to be in his line of sight when he does.
Debasish Mridha|To amaze yourself, lift your spirit and see through your love the beauties of life.
Edwin Morgan, A Book of Lives|Valentine WeatherKiss me with rain on your eyelashes,come on, let us sway together,under the trees, and to hell with thunder.
Rob James-Collier|A young dog's faith is absolute... Dogs are notorious for hope. Dogs believe that this morning, this very morning, may begin a day of fascination, easily grander than any day in the past.
Henry David Thoreau, Walden, or Life in the Woods|This was sheer idleness to my fellow-townsmen, no doubt; but if the birds and flowers had tried me by their standard, I should not have been found wanting. A man must find his occasions in himself, it is true. The natural day is very calm, and will hardly reprove his indolence.
Adlai E. Stevenson|I think it is important that you have people from all different vanguards, from all different walks of society and different viewpoints to be focused on the struggle for equality and democracy. We need as many champions for the cause and as many events as possible to help keep this in focus.
George R.R. Martin, A Dance with Dragons|She sighed and looked at him sympathetically. 'Cool flame tricks aside, there's no competition.'He lifted his eyebrow. 'Library wins?''Every single time.
John Dingman|As every cat owner knows, nobody owns a cat.
Debasish Mridha|If any belief or societal dogma prevents peaceful societal change or progress, that society will inevitably be victims of miserable violent changes.
Martin Seligman|Few will have the greatness to bend history itself; but each of us can work to change a small portion of events, and in the total; of all those acts will be written the history of this generation.
Evy Michaels|Careful... Once you push that button, there's no going back. This will end in two ways; the tragic loss of your sanity or the catastrophic diminution of my reality. You still want to know me? Bring a light, before my darkness swallows you whole
Bernard|I cannot come to thee but by thee, I never come from thee without thee
Craig D. Lounsbrough|What excites us the most or likewise scares us the most is when something is exactly what it says it is. And when it comes to Christmas, we’re going to end up finding ourselves on one side of that line or the other.
