S.A. Tawks, Misadventurous|Now comes the hard part. Peyton, Peyton, Peyton. Just say Peyton.
Jeff Garlin, My Footprint: Carrying the Weight of the World|Only now I have added "living green" to the list. And that's when I realize: there is no ending to the story. There is no "I lost my 70 pounds and my house is completely green." It's an ongoing process. There is no end game.It's like success. You think that at some point you make it and then it's easy. Nope. The hard work never goes away. In some ways it's harder. No coasting.
Bill Goldberg|Whether it's at a concert in France or a restaurant in the United States, terrorism doesn't have to happen in a military installation by any stretch of the imagination.
Aleksandra Ninkovic|Robin Williams is one more example, that genius people are genius for a reason, and that reason is feeling without reasoning. Depression is for sensitive people. Sensitive people sense the world as it is, and they can't cope with it. Sensitive people need a better, more tender world to live in. Matter of fact, we all do.
Kat Kaelin, TOOL OF THE WILLOW FAIRY: Love Will Find A Way|The world doesn't owe you anything because you're in it, but you owe yourself the world because it is in you.
Alex Staniforth, Icefall: The True Story of a Teenager on a Mission to the Top of the World|Life, to me, is like fishing: you won’t catch anything until you start, and every year you get older is another year the fish might slip through the net.
Dionne Bromfield|Have you ever struggled to find work or love, only to find them after you have given up? This is the paradox of letting go. Let go, in order to achieve. Letting go is God's law.
Florence Henderson|I like to swim a lot, while Stjepan likes to take long walks with girls. He's the very romantic type. Yes, musicians are romantic.
Travis Bradberry|When men have a smile on their faces, that does a lot for me.
Scott Snyder, American Vampire, Vol. 2|He had seen so much of life, but even more of death. He had seen countless eras come and go and still he braved forward, forever alone. And here she was ready to give up after a few lousy years. She was a coward.
Kate Lord Brown, The Taste of Summer|... a health drink company called Fuel, founded by a former tank commander in the British Army and an extreme-sports enthusiast, offers a liquid fry-up combining the flavors of bacon, sausage, poached egg, fried tomatoes, baked beans, mushrooms, toast, salt and pepper, and brown sauce. It's only 230 calories, and it packs twenty grams of protein (assuming you can keep it down).
Tyler Perry|Plan your work for today and every day, then work your plan.
Kristen Reed, Five Nights With Pharaoh|For a brief moment the previous day, I’d felt a flicker of kinship with him because of my own barrenness, but he brandished his brokenness like a sword, ready to cut anyone who displeased him because someone in Pharaoh’s household had once cut him.
my Teacher|There was this hot, yellowy stillness the air always got in the minutes before the last bell, as if it were stiffening itself to be shattered.
Aesop, Aesop's Fables|Come,' he said, 'come, we must see and act. Devils or no devils, or all the devils at once, it matters not; we fight him all the same.
Lailah Gifty Akita|My grandma, Mrs Grace Ayorkor Acquah, said, "Money matters is only a matter of fancy.
Crystal Woods, Write like no one is reading 3|Endurance, I reminded myself, is the true measure of existence.
Israelmore Ayivor, Shaping the dream|Do what you choose to do with all your heart, head and hands! Your attitude determines how passionate you do what you chose to do.
Penny Reid, Neanderthal Seeks Human|I didn’t like trusting, I didn’t like setting greater than mild expectations,
Lisa Randall, Knocking on Heaven's Door: How Physics and Scientific Thinking Illuminate the Universe and the Modern World|In some sense, gravity does not exist; what moves the planets and the stars is the distortion of space and time.
April Bloomfield|For me, personally, when I'm afraid of something - when you're afraid of something, normally you try to go away, you try to avoid it. Instead of avoiding it, to overcome your fear, I believe you need to embrace it.
Lisa Leslie|Go see 'Hidden Figures,' and take a young person! It will give a more positive outlook on what is possible if you work hard, do your best, and are prepared.
Charles Martin, Wrapped in Rain|Child," she said placing her head to mine and her callused fingers on my cheek, "you can whip it and beat it senseless, you can drag it through the streets and spin on it, you can even dangle it from a tree, drive spikes trough it, and drain the last breath from it, but in the end, no matter what you do, and no matter how hard you try to kill it, love wins.
