Michael Bassey Johnson|Music replays the past memories, awaken our forgotten worlds and make our minds travel.
Leo Tolstoy, Anna Karenina|I have seen a face with a thousand countenances, and a face that was but a single countenance as if held in a mould. I have seen a face whose sheen I could look through to the ugliness beneath, and a face whose sheen I had to lift to see how beautiful it was. I have seen an old face much lined with nothing, and a smooth face in which all things were graven. I know faces, because I look through the fabric my own eye weaves, and behold the reality beneath.
John Millington Synge|I had therefore to remove knowledge, in order to make room for belief.
Paulo Coelho|There is no private house in which people can enjoy themselves so well as at a capital tavern... No, Sir; there is nothing which has yet been contrived by man by which so much happiness is produced as by a good tavern or inn.
|The presence of a big obstacle doesn't define a negative life, but failing to face and conquer it, is what builds a wall between oneself and a positive life.
Virginia Woolf, Jacob's Room|Once you transcend the external differences, anything can be merged with anything.
C. Terry Warner, Bonds That Make Us Free: Healing Our Relationships, Coming to Ourselves|Did I love what I was doing, or did I love myself in doing it?
Jessica Lynch|How often do we listen and act to the call of honesty, serenity, humility and generosity?How many "soft pillows" do we use for a life time?If only everyone uses a "soft pillow," then what a better world it could be to have many genuine hearts.
Ehabib|History shows: Whenever people try to pull you down, you will reach peaks of success. You just need the ability to ignore.
Maryse Condé|It was no shock to me that my parents, like so many others, emerged out of a kind of fog. My father, an unrepentant chatterbox, claimed that his father had gone to dig for gold in Paramaribo, Dutch Guyana, anbodoning his mother, who was breast-feeding her baby on the Morne à Cayes. Other times he claimed his father was a merchant seaman, shipwrecked off the coast of Sumatra. Where did the truth lie? I think he re-created it at will, taking pleasure in enunciating the syllables that made him dream: Paramaribo, Sumatra. Thanks to him, from a very early age I understood that you forge an identity.
Deb Caletti, Honey, Baby, Sweetheart|We are thickly layered, page lying upon page, behind simple covers. And love - it is not the book itself, but the binding.
Kittie Blessed|Weeping WillowWeeping willow, how your elongated leaves dangle in the mist of the air, you bring such true comfort into the needful eye.How your leaves sway from left to right, providing your own intricate dance so divine.Weeping willow, you provide the most comforting shade upon your layer of leaves making me feel encircled with love and safety.Weeping willow, as I lay under your silvery leaves, I look up for a helping hand, I see strength within your structure, can you help me?Weeping willow, as I climb upon you will you make sure I won't fall, will you catch me if I do?Weeping willow, as I sit upon you looking to the sky through your rustling leaves, will you hear my pain? Can I overcome such things? The weeping willows long leafed branches sway back and forth providing the gentlest of winds across one's face. The eyes close so slowly, a sigh escapes one's mouth.As one sits on the branch they feel if there is someone watching over them, comfort arises as the branches nestle one's sorrows. A tear slowly slides down their cheek as if all emotion was escaping them. The wind starts to slowly blow, once again the elongated leaved branches sway back and forth against the song of the wind, creating one's smile to appear slowly but surely. The long silvery leaves brush against ones cheek, as if it was the hand of comfort, wiping the sadness away. Weeping willow, I will climb down now, I have heard what you have had to say... The one steps down and walks around to the back of the willow tree as it faces such gleaming waters. They look at the carving at the back of the tree, something that has been carved there for years upon the dark bark. Their body slumps to the ground as their back presses against the bark, fingers reaching up to trace the well known loved one. The carved initials of a beloved memory. The one whispers, "Thank you for hearing me, Dad.
Bluenscottish|Poverty of character is not a personality flaw,its is the bankruptcy of morals
Santonu Kumar Dhar|Success come only through high ambition, good guidance, strong will, determining and effort.
Anne Michaels, Fugitive Pieces|I didn't ask to be made a princess."This time all three of them laugh, although it is gentle enough."Who chooses their fate?" It is the third one, the tallest. "Who asks to be born into the times that are theirs?""Well, who accepts the world only as it comes to them?" she says, too quickly.
