P.C. Cast|Damien has died and gone straight to gay boy heaven,' Shaunee said...
Carl Prude  Jr., Anchored in Light: Understanding and Overcoming the Five Deadliest Threats to Your Faith|What was it you told me, Jesus?” she asked him softly. “Do you remember? Love is love is love. Pain is pain is pain. Knowledge is knowledge. It doesn’t matter what shape or form it takes, what matters is how you use it, what you do with it, and if you can accept it with some measure of grace. If you can, it’s the most beautiful thing in the world. If you can’t...
Alan Bradley, Thrice the Brinded Cat Hath Mew'd|Giving someone the benefit of the doubt is not so simple as it sounds. What it means, in fact, is being charitable--which, as the vicar is fond of pointing out, is the most difficult of the graces to master. Faith and hope are a piece of cake but charity is a Pandora's box: the monster in the cistern which, when the lid is opened, comes swarming out to seize you by the throat.
Michelle M. Pillow, Love Potions|Emotions like these didn't happen to regular, everyday people. They couldn't or else the entire world would be fornicating all the time.
Dalai Lama XIV|When we feel love and kindness toward others, it not only makes others feel loved and cared for, but it helps us also to develop inner happiness and peace.
Michael Grant, Gone|The greater good has been defined as "the ends justify the means." The common good says that "liberty resides in the means.
P.A.  Ross, The Birth of Vengeance|There was a dark aura about him, a hint of caged power in that deceptively casual, sprawled poise. Danger personified.If this had been a film she would have expected to hear the warning wail of an electric guitar creep over the soft background bustle of the city.
Niels Bohr|It is not enough to be wrong, one must also be polite.
Fennel Hudson, A Meaningful Life - Fennel's Journal - No. 1|Stop – Unplug – Escape – Enjoy.’ This is the message of the Priory, and the key to enjoying a peaceful and rewarding life.
Stephen Colbert|we wish you everything you wish yourself' Jurgen said.'What do you wish yourself?' Birgit asked.I felt silly 'I don't really have any specific wishes''a new old man perhaps?' Juliet said playfully'but please, not just any old man!' I said.'of course not just any old man! The man with whom it'll all be different.
Terry Tempest Williams|We come into this world through women: a woman who is spent, broken open, in awe. No wonder women have been worshiped ever since men first saw the crowning of a head, here, legs spread, a brushstroke of light. We are fire. We are water. We are earth. We are air. We are all things elemental. The world begins with "Yes,"Changing women: we begin again like the moon. We can no longer deny the destiny that is ours by becoming women who wait: waiting to love, waiting to speak, waiting to act. This is not patience, but pathology. We are sensual, sexual beings, intrinsically bound to both heaven and earth, our bodies a hologram. In our withholding of power, we abrogate power, and that creates war. The Australian poet Judith Wright says, "Our dream was the wrong dream, our strength was the wrong strength. Wounded, we cross the desert's emptiness and must be false to what would make us whole.
Sidney Lanier|We don't pray for the land. We pray for the humans, all humans... starting with the president, Mohammed Morsi, and all officials, and for God to give everyone wisdom and responsibility to manage the affairs of this country and its people in true Egyptian spirit.
Pablo Picasso|When I was a child my mother said to me, 'If you become a soldier, you'll be a general. If you become a monk, you'll be the pope.' Instead I became a painter and wound up as Picasso.
Salman Khan|A lot of people think Formula One isn't a sport because everyone drives a car when they go to work in the morning. But we're pulling up to six G on a corner or during breaking, which is almost like being a fighter pilot. So we have to do a lot of work on our neck muscles.
Mullk Raj Anand|Because there is no challenge, there is no reason to work hard. And with no reason to work hard, we all have become lazy. Lazy people are like cancer. They spread. Before you know it, the entire country is destroyed.
JUVENALIUS|Juvenalius, 15 and gay, has been raised in a difficult family and has been held in his aunt's Diana suffocating iron grip for all of his life. He has been made to feel worthless and ashamed; with no freedom, only obedience. Yet this begins to change one day when he meets a boy named Davis at his high school who has drawn the meaningful letter 'C' on his right hand. Now Juvenalius has hope but his behavioral changes are seen as an act of defiance in his aunt's eyes until she catches Juvenalius and Davis kissing out back under the school's library windows. Then Juve's life is unexpectedly transformed.
