Matthew Syed|If you list down whatever you didn’t get to do, then whatever you did won’t feel like it mattered.
Elizabeth Hopkinson|There is a kind of truth in everything, even fairytales. In fact, especially in fairytales... The King understood it as he looked out from the roof of the Temple and saw the clouds flying past and the green fields far beneath him. He knew that some things are real whether you believe in them or not...(The Thirteenth King)
David Brooks|there was a common understanding that religion generally served the powerful, who manipulated the words of the gods and prophets to justify their greed and lust for power. Yet Christianity comes in numerous guises; mystical to dogmatic; it is used by some as a reason to justify their wars, their oppression and their hatreds. Others use it to oppose those wars and other injustices.
Mehmet Murat ildan|Life is like a trek to the mountain top. Everyone will eventually climb to the top. Later, or sooner, doesn't matter. What matters is - the person who holds your hand and prevents you from falling, the one who is always there to ease the climb for you...
Ikechukwu Joseph, Discovering Yourself|? If you are not awed in the presence of a Holy God, then I say you may be like the crowds we have been observing in the Gospel of Mark and think of Jesus as no more than a winning lottery ticket to solve your immediate problems. Once the ticket is cashed, you take the money and go your own way.
Abhijit Naskar, Neurons of Jesus: Mind of A Teacher, Spouse & Thinker|All our sentiments - religious, romantic or any other - are born in the neurons.
Lauren Oliver, Requiem|MOST PEOPLE think acting is make-believe. Like it’s a big game where people put on costumes and feign kisses or stab wounds and then pretend to gasp and die. They think it’s a show. They don’t understand that acting is becoming someone else, changing your thoughts and needs until you don’t remember your own anymore. You let the other person invade everything you are and then you turn yourself inside out, spilling their identity onto the stage like a kind of bloodletting.
T.H. White, The Ill-Made Knight|It was amazing the things you could bring yourself to do when you felt insecure, when you were out to protect your heart. You could deny it what it wants most, just for the sake of saving your pride or dodging another bullet.
Adelle Waldman, The Love Affairs of Nathaniel P.|Marriage and dating are man-made ideologies; if having a lover was a prerequisite to living, we’d all be born in pairs; as couples.
Diane Setterfield, The Thirteenth Tale|I had yet to learn that when it came to gender, I was both and neither.
Mark Twain|This afternoon I sat at my window and alternately wrote at my new serial and watched a couple of dear, amusing, youngish maple-trees at the foot of the garden. They whispered secrets to each other all the afternoon. They would bend together and talk earnestly for a few moments, then spring back and look at each other, throwing up their hands comically in horror and amazement over their mutual revelations. I wonder what new scandal is afoot in Treeland.
Tucker Elliot, The Day Before 9/11|I felt a hand on my back, movement behind me, my guys making room, someone squeezing into our circle, and then one last hand joined the pile: my Korean aide. I guess it made sense. We were her real family. The closest thing she’d ever had to a real family, at least. All year she said maybe five words a day. 'Now kick some ass,' she said.
Naomi Wolf, The Beauty Myth|Modern cosmetic surgeons have a direct financial interest in a social role for women that requires them to feel ugly. They do not simply advertise for a share of a market that already exists: Their advertisements create new markets. It is a boom industry because it is influentially placed to create its own demand through the pairing of text with ads in women's magazines. The industry takes out ads and gets coverage; women get cut open. They pay their money and they takes their chances. As surgeons grow richer, they are able to command larger and brighter ad spaces.
Sunday Adelaja|When you allow God to be manifested through you, you will experience a great joy.
Tad Williams, City of Golden Shadow|He had once thought it was strange to have a friend you'd never met. Now it was even stranger, losing a friend you'd never really had
