Gautama Buddha|If you do not change direction, you may end up where you are heading
Jeffrey Rabuffo, M.D., F.A.C.S.|My goal here is to explore the realities and complexities of the life of men. I don't want to act like the woman putting the man down, and I don't want to be the whining man crying, 'I need help. What are you going to do for me? The genders should be asking, 'What are we, men and women, going to do about it?' Let's first recognize the situations; then form plans for what can and should be.
Eric Liddell, The Disciplines Of The Christian Life|When a person is evoked for who she is, not who she is not, the most often result will be the inner healing of her heart through the touch of affirmation.Jesus said you are to love one another as I have loved you, a love that will possibly lead to the bloody, anguish gift of yourself, a love that forgives seven times seven, that keeps no record of wrong. This is the criterion, sole norm, the standard of discipleship in the New Israel of God.
Toba Beta, My Ancestor Was an Ancient Astronaut|To me, the thing that is worse than death is betrayal. You see, I could conceive death, but I could not conceive betrayal.
Albert Camus, The Myth of Sisyphus and Other Essays|Women of today are still being called upon to stretch across the gap of male ignorance and to educate men as to our existence and our needs. This is an old and primary tool of all oppressors to keep the oppressed occupied with the master's concerns. Now we hear that is is the task of women of Color to educated white women - in the face of tremendous resistance - as to our existence, our differences, our relative roles in our joint survival. This is a diversion of energies and a tragic repetition of racist patriarchal thought.
Annalee Newitz|American women are so fortunate. When I got married, all I wanted in the world was a dryer so I didn't have to hang up my diapers. And now women have paper diapers and all sorts of conveniences in the home. And it is the man and the technology that has made the home such a pleasant place for women to be.
Archibald Marwizi, Making Success Deliberate|Your new challenge is to redesign your time allocations. Your strategic focus determines where your time resources will be mainly invested. Prioritise acting out your own script, make your own movie instead of spending too much time watching others at work through the TV. It is surprising the number of unsuccessful people who spend all their time resources on the social media platforms following the lives of the successful. Make the news, be the leader and let others follow you. Align you priorities and balance your activities.
Josh Dun|Blurryface is a fictional character and a reference to insecurities, which I think all people have.
Alexander Pushkin, Eugene Onegin|Perhaps you'd like, you gentle fellow, To hear what I'm prepared to sayOn "kinfolk" and their implications?Well, here's my view of close relations:They're people whom we're bound to prize, To honor, love, and idolize,And following the old tradition,To visit come the Christmas feast, Or send a wish by mail at least;All other days they've our permission,To quite forget us if they please-So grant them, God, long life and ease!
Jalaluddin Rumi, Words of Paradise: Selected Poems|Carpe diem, quam minimum credula postero.(Pluck the day [for it is ripe], trusting as little as possible in tomorrow.)
Zack Love, The Syrian Virgin|Sometimes violence is necessary to prevent even more violence,” I concluded, almost as if it were an epiphany.
Rae Hachton, Pretty In Black|Death, of course, should not be feared, but awaited with certain wonder. To die was to step across a threshold into a new world, unknown, unimaginable.
David Sedaris, Me Talk Pretty One Day|If you aren't cute, you may as well be clever.
Sophocles, Antigone|I’ve found I still serve a purpose. I remind people to pray, to calculate the odds, to thank the fates, the gods, good karma, whatever it was that made this happen to me and not them. I’m in the worst sort of club. The one no one else wants to be in.
