John Irving, A Prayer for Owen Meany|Great words, arranged with cunning and artistry, could change the perceived world for some readers
Anne Brontë, The Tenant of Wildfell Hall|Ah, we shall never have a real aristocracy while this plebeian reluctance to live upon a parent or a wife continues the animating spirit of our youth. It strikes at the foot of the feudal system!
Alexander McCall Smith, The Forever Girl|..what moved me was that I had found something I didn't think could exist. And that thing - the thing that I found - was very simple. Most people know all about it and have never really doubted it because their lives have been such as to give them a glimpse of the thing that they were not sure about, which is love, of course: the sheer fact of feeling of love for another, of finding the one person - the only person, it seems - who makes the world make sense. It's like discovering the map that you've been looking for all your life and have never been able to find - the map that makes sense of the journey.
Mehmet Murat ildan|Even five minutes of your time can make someone’s day,
Lailah Gifty Akita, Think Great: Be Great!|The more you read the Bible, the more transform your life will be.
Kelseyleigh Reber|I have emotions,” I whisper. I am nothing but a black hole of emotions.
Carl Sagan, Dragons of Eden: Speculations on the Evolution of Human Intelligence|the future belongs to those societies that treat new ideas as delicate, fragile and immensely valuable pathways to the future.
Paula McLain, The Paris Wife|They’d scared me and had me thinking about what it meant to be really strong, on my own terms—not just fit and brown from the sun, not just flexible and accommodating.
Henry Hon, ONE: Unfolding God's Eternal Purpose from House to House|Because When you write about people, you inevitably offend--but if you write about animals, the evil do not recognize themselves but the good understand immediately.
Archibald MacLeish|As things are now going, the peace we will make, the peace we seem to be making, will be a peace of oil, a peace of gold, a peace of shipping, a peace, in brief... without moral purpose or human interest.
India Drummond, Ordinary Angels|Who're them?" says he to the curate."Them are the fallen angels," says the c
Peter Freuchen, Book of the Eskimos|Best *sometimes it is best not to speakbut just gaze silentlyinto the infinity of your own soul_____________________________rassool jibraeel snyman (c) 2015"The Poetic Assassin
James     Baldwin, Giovanni's Room|Love him,’ said Jacques, with vehemence, ‘love him and let him love you. Do you think anything else under heaven really matters? And how long, at the best, can it last, since you are both men and still have everywhere to go? Only five minutes, I assure you, only five minutes, and most of that, helas! in the dark. And if you think of them as dirty, then they will be dirty— they will be dirty because you will be giving nothing, you will be despising your flesh and his. But you can make your time together anything but dirty, you can give each other something which will make both of you better—forever—if you will not be ashamed, if you will only not play it safe.’ He paused, watching me, and then looked down to his cognac. ‘You play it safe long enough,’ he said, in a different tone, ‘and you’ll end up trapped in your own dirty body, forever and forever and forever—like me.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Everyone at some point in life have faced rejection and failure, it is part of the process to self realisation.
Kourtney Kardashian|I've always loved children's clothes - my grandmother actually owned a children's boutique in La Jolla, CA, for 30 years. I grew up visiting her and working in her store, and then my mom and I had a children's boutique together for five or six years.
Vivian Amis, I Am: The Key to Manifesting|What is life to Spirit, is death to the ego.
Aaron Copland, What to Listen for in Music|The whole problem can be stated quite simply by asking, 'Is there a meaning to music?' My answer would be, 'Yes.' And 'Can you state in so many words what the meaning is?' My answer to that would be, 'No'.
H.F. Stewart|Ga thought of how difficult it was to come to see the lies you told yourself, the ones that allowed you to function and move forward.
Abhijit Naskar, What is Mind?|The currency of evolution is neither hunger nor pain, but rather copies of DNA helixes
Henry Louis Gates|Jo Sykes made these incredible leather jackets: the leather was like butter. I had one, but I lost it at a wedding in Ibiza. It was so sad; I've not been able to replace.
Wayne Gerard Trotman|Deliver more than you promise and earn the respect and gratitude of the intelligent, the wise, and the honourable.
Himanshu Chhabra|The writer doesn’t write for the reader. He doesn’t write for himself, either. He writes to serve…something. Somethingness. The somethingness that is sheltered by the wings of nothingness — those exquisite, enveloping, protecting wings.
