Sherilyn Fenn|Today I trust my instinct, I trust myself. Finally.
Richie Norton|Ain’t nobody gonna separate from theircold hard cash unless they have an unresolved problem, so ifyou want to make money, you have to be incredibly clearabout what problem(s) you solve.
Ernest Agyemang Yeboah|There is this one thing that makes a big difference: creativity! There is this one thing that gives birth to great things: imaginations! The world we see is a product of creativity and imaginations, and they that know the power of creativity and how to give life to their imaginations live and leave distinctive footprints!
Mira Grant, Feedback|When you see zombies, they're typically in a horde. A big group close together, as if they were just holding hands before you saw them and they quickly let go.
M.F. Moonzajer, LOVE, HATRED AND MADNESS|Sec. 10. Besides the crime which consists in violating the law, and varying from the right rule of reason, whereby a man so far becomes degenerate, and declares himself to quit the principles of human nature, and to be a noxious creature, there is commonly injury done to some person or other, and some other man receives damage by his transgression: in which case he who hath received any damage, has, besides the right of punishment common to him with other men, a particular right to seek reparation from him that has done it: and any other person, who finds it just, may also join with him that is injured, and assist him in recovering from the offender so much as may make satisfaction for the harm he has suffered.
Billy Graham, Billy Graham in Quotes|We live in an upside-down world. People hate when they should love, quarrel when they should be friendly, fight when they should be peaceful, wound when they should heal, steal when they should share,do wrong when they should do right.
Mishi McCoy|The Lovely Knowing, your source of intuition and inspiration may not always be explainable, but it is always attainable!
Sanober  Khan|...she would have walked all the way up to East Sixty-Third Street, and probably 163rd Street, if it meant pouring even more into this memory that wasn't a memory.
Ellen Bass, The Courage to Heal: A Guide for Women Survivors of Child Sexual Abuse|... it is possible to heal. It is even possible to thrive. Thriving means more than just an alleviation of symptoms, more than Band-Aids, more than functioning adequately. Thriving means enjoying a feeling of wholeness, satisfaction in your life and work, genuine love and trust in your relationships, pleasure in your body.
Shannon L. Alder|Forever echoed in their favor. "Never say never", she said softly. For you see, Forever had never heard of Never.
Jessica Khoury, The Forbidden Wish|His face was glistening with cold. He was beautiful, the snow in his eyelashes like diamonds, the cool pink of his cheeks, the wet red of his lips. He was staggering toward her."I have to leave you." His breath came in uneven bursts. "You won't be safe with me."Whatever he was, he could not be bad. An amazing and terrible thought entered Valerie's mind, clearing away all others."Peter..."She stepped toward him, arms out. They gave in to each other, finally, their bodies fitting together. Her fingers warmed his cheek, and his arms slipped underneath her crimson cloak as her long blond hair blew around them. Enveloped in a shelter of white, standing out in black and red, were just the two of them. Nothing else anywhere. Valerie knew that she could never be apart from him, that she was what he was and that she would be his always.She didn't care if he was the Wolf or not. And if he was a Wolf, then she would be one, too.She made he choice and brought her lips to his.
