Nelson Rodrigues|The Human Being, as we imagine it, does not exist.
Shalom Auslander, Hope: A Tragedy|Tragedy was like that, a razor that sliced through time, severing the now from the before, incising the what-might-have-been from reality as cleanly as any surgeon's blade.
Nicola Yoon, The Sun Is Also a Star|According to scientists, there are three stages of love: lust, attraction, and attachment. And, it turns out, each of the stages is orchestrated by chemicals—neurotransmitters—in the brain.As you might expect, lust is ruled by testosterone and estrogen.The second stage, attraction, is governed by dopamine and serotonin. When, for example, couples report feeling indescribably happy in each other’s presence, that’s dopamine, the pleasure hormone, doing its work.Taking cocaine fosters the same level of euphoria. In fact, scientists who study both the brains of new lovers and cocaine addicts are hard-pressed to tell the difference.The second chemical of the attraction phase is serotonin. When couples confess that they can’t stop thinking about each other, it’s because their serotonin level has dropped. People in love have the same low serotonin levels as people with OCD. The reason they can’t stop thinking about each other is that they are literally obsessed.Oxytocin and vasopressin control the third stage: attachment or long-term bonding. Oxytocin is released during orgasm and makes you feel closer to the person you’ve had sex with. It’s also released during childbirth and helps bond mother to child. Vasopressin is released postcoitally.Natasha knows these facts cold. Knowing them helped her get over Rob’s betrayal. So she knows: love is just chemicals and coincidence.So why does Daniel feel like something more?
Ellen Dawn Benefield, Wyrd Wravings: An Anthology of Humorous Speculative Fiction|First contact comes not by hand of man, but by metal of machine.
Sean Bean|In 1962, I wrote a series about 42nd Street called 'Welcome to Lostville.' One result was that the young Bob Dylan read it and invited me to his first concert at Town Hall; the result was a kind of friendship that years later led to my liner notes for 'Blood on the Tracks.'
Siobhan Davis, Saven Deliverance|If there’s one thing I’ve learned, buddy, it’s that love is messy and complicated. If it’s too easy, then it isn’t the real deal. It can’t be, because passion doesn’t follow the path of least resistance. It’s this fiery, out-of-control entity that sucks you in and spits you out more hurt and more alive than ever before.
Rick Riordan, The Maze of Bones|Amy, Dan, and Nellie were sitting at a table in a conference room, examining reproductions of Franklin documents-some so rare, the librarians told her, the only copies existed in Paris. "Yeah, here's a rare grocery list," Dan muttered. "Wow.
Lionel Suggs|We make sense of the world intentionally. Faced with chaos, we seek or make the familiar, and build up the world with it. Babies do it, we all do it; we filter out most of what our senses report.
Louis Sachar, Wayside School Gets A Little Stranger|School never teaches you about this mangled human slime, it slays me. You spend all your time learning the capital of Surinam while these retards carve their initials in your back.
Arun Gandhi, Legacy of Love: My Education in the Path of Nonviolence|The trait [Morey] looked for was awareness that they were seeking answers to questions with no certain answers--that they were inherently fallible. "I always ask them, 'Who did you miss?'" he said. Which future superstar had they written off, or which future bust had they fallen in love with? "If they don't give me a good one, I'm like, 'Fuck 'em.
Danica McKellar|It took me a long time to figure out how to act, and how to conduct myself in the business so I could get what I felt I needed to support my potential and give them what they wanted.
