Ivan Goncharov, Oblomov|In the bitter waves of woe, Beaten and tossed about By the sullen winds that blow From the desolate shores of doubt,­­ When the anchors that faith had cast Are dragging in the gale, I am quietly holding fast To the things that cannot fail: In the darkest night of the year,  When the stars have all gone out,  That courage is better than fear,  That faith is truer than doubt; And fierce though the fiends may fight,  And long though the angels hide, I know that Truth and Right Have the universe on their side; And somewhere, beyond the stars, Is a Love that is better than fate; When the night unlocks her bars I shall see Him, and I will wait
Rick Riordan, The Son of Neptune|Perseus Jackson, I do expect you torefrain from causing any more trouble. ""Trouble?" I demanded.Dionysus snapped his fingers. A newspaper appeared on the table-the front page of today'sNew York Post, There was my yearbook picture from Meriwether Prep. It was hard for me tomake out the headline, but I had a pretty good guess what it said. Something like: ...Perseus Jackson, I do expect you torefrain from causing any more trouble. ""Trouble?" I demanded.Dionysus snapped his fingers. A newspaper appeared on the table-the front page of today'sNew York Post, There was my yearbook picture from Meriwether Prep. It was hard for me tomake out the headline, but I had a pretty good guess what it said. Something like: Thirteen-Year-Old Lunatic Torches Gymnasium.
Larry McMurtry, Lonesome Dove|I sing about life. I am happy, but life is sad.
Eliyahu M. Goldratt|such a short time. I am about to tell our barker,
Sai Baba|What matters is to live in the present, live now, for every moment is now. It is your thoughts and acts of the moment that create your future. The outline of your future path already exists, for you created its pattern by your past.
Chris Evans|All of the legal defense funds out there, they're looking for people out there with court of appeals experience, because court of appeals is where policy is made. And I know, I know this is on tape and I should never say that because we don't make law, I know. I know.
Bamigboye Olurotimi|Sometimes we need boldness, creativity and wisdom to enforce the change we want in us and others.
Michel de Montaigne, The Complete Essays|Il n'est si homme de bien, qu'il mette à l'examen des loix toutes ses actions et pensées, qui ne soit pendable dix fois en sa vie.(There is no man so good that if he placed all his actions and thoughts under the scrutiny of the laws, he would not deserve hanging ten times in his life.)
Archibald Marwizi, Making Success Deliberate|Development of states, urbanization, mechanization and industrialisation have all brought phenomenal strides to growth and prosperity of economies and their populace. They have also brought with them the insatiable need for energy resources with the related offspring of instability, conflict, war and corruption.
Dean Koontz, Lightning|People get stuck a lot because they're afraid to act; in the worst case,...we get so attached to some end result that we can't function. We need help just to move on, only life doesn't wait.
Deyth Banger|There is noroom for the love of others within the tight, crowded miser’s hole of a privateego. Be empty in order to be filled. ’He that loveth his life shall lose it; andhe that hateth his life in this world shall keep it unto life eternal.
Anna Godbersen, Envy|The world is such a marvel-it gave you trials, but if you were still and concentrated, if you tried to do the right thing, it always provided you with salvation.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|Always judge a man by the coloring of his heart and only his heart. Truth can be found in his record of actions, not intentions.
Mark Forsyth, The Horologicon: A Day's Jaunt Through the Lost Words of the English Language|The powerful intellect leashed by an impoverished vocabulary is a myth. Without a vocabulary, a language, the intellect cannot develop.
Sarah Addison Allen, First Frost|If you like the fairy tales, visit the old towns!
Richard Dawkins|Of all created comforts, God is the lender; you are the borrower, not the owner.
Benny Bellamacina, Piddly poems for children vol:3|When an artist friend of mine explained she was working her way up the creative ladder, I asked if she would kindly paint the front of my house on the way up.
Ursula K. Le Guin, The Tombs of Atuan|Freedom is a heavy load, a great and strange burden for the spirit to undertake. It is not easy. It is not a gift given, but a choice made, and the choice may be a hard one. The road goes upward towards the light; but the laden traveler may never reach the end of it.
Prince Ea|People don’t choose dreams, dreams choose them. So the question I’m getting to is, do you have the courage to grab the dream that picked you?
Albert Camus, The Plague|There aren't any GOOD guys. You realize that, don't you? I mean: there aren't EVIL guys, and INNOCENT guys. It's just - it's just... It's just a bunch of guys.
Richard Linville|To the PROBLEMS of our life, we are the SOLUTIONS. To the QUESTIONS of our life we are the ANSWERS
Sherman Alexie|I wanted to ask my father about his regrets. I wanted to ask him what was the worst thing he'd ever done. His greatest sin. I wanted to ask him if there was any reason why the Catholic Church would consider him for sainthood. I wanted to open up his dictionary and find the definitions for faith, hope, goodness, sadness, tomato, son, mother, husband, virginity, Jesus, wood, sacrifice, pain, foot, wife, thumb, hand, bread, and sex. "Do you believe in God?" I asked my father."God has lots of potential," he said."When you pray," I asked him. "What do you pray about?""That's none of your business," he said. We laughed. We waited for hours for somebody to help us. What is an Indian? I lifted my father and carried him across every border.
