Victoria Kahler, Luisa Across the Bay|Through the veil of Love, one finds the heaven on Earth
Anthony Marra, A Constellation of Vital Phenomena|He could have set fire to it, the garden was dry enough, and burned it clean—privet, vines, and weeds; but he waited in his rooms through the winter instead, weeping and dreaming.
Walter Raleigh|PASSIONS are likened best to floods and streams:	The shallow murmur, but the deep are dumb;
Ani DiFranco|I respect marriage, and I think it's beautiful that people do it. But for me, more important than anything is having a peaceful life and a peaceful home.
Jean-Paul Sartre, No Exit and Three Other Plays|At an age when most children are playing hopscotch or with their dolls,you, poor child, who had no friends or toys, you toyed with dreams of murder, because that is a game to play alone.
Angela Corbett, Eternal Starling|You said I told you I was in love with someone else, but I’m not. That’s not what I meant. Cassandra was a part of my past, but our time together ended. The only person I want, the only person I love, is you.
Assata Shakur, Assata: An Autobiography|He was known to hit low, drive upward from the hips, and flip other boys over his shoulder and onto their backs, knocking the wind out of them on the glass-littered asphalt, sometimes causing a fumble and always inciting cheers from onlookers up and down the street––especially when he punctuated the hit with the words "Patent that!"...This permissible violence was unique in that it elicited respect from the victim rather than calls for retribution.
Alessandro Baricco, Castelli di rabbia|Addio, Dann. Addio, piccolo signor Rail, che mi hai insegnato la vita. Avevi ragione tu: non siamo morti. Non è possibile morire vicino a te. Perfino Mormy ha aspettato che tu fossi lontano per farlo. Adesso sono io che vado lontano. E non sarà vicino a te che morirò. Addio, mio piccolo signore, che sognavi i treni e sapevi dov'era l'infinito. Tutto quel che c'era io l'ho visto, guardando te. E sono stata ovunque, stando con te. È una cosa che non riuscirò a spiegare mai a nessuno. Ma è così. Me la porterò dietro, e sarà il mio segreto più bello. Addio, Dann. Non pensarmi mai, se non ridendo. Addio.
Kevin James|As a kid, I said, 'I want to write for movies.' When I finally had that opportunity it was like I was able to exhale. 'Wow, I'm finally doing this for real.'
Nikola Tesla|Oh, and I certainly don't suffer from schizophrenia. I quite enjoy it. And so do I.
Izzeldin Abuelaish, I Shall Not Hate: A Gaza Doctor's Journey on the Road to Peace and Human Dignity|If God is not the reason, I have no reason! If Jesus Christ is not my friend, I have no friend!
Dave Barry|We were bleeding information from the nose and ears, though dazed and disoriented was not how I experienced it. Most of the time, I felt like I was three years old, high on chocolate cake and social networks, constantly wired, ingesting information and news about information, books and books about books, data and metadata—I was, in other words, overstimulated yet gluttonous for more.
Ralph Marston|I have a lot to be thankful for. I am healthy, happy and I am loved.
Sunday Adelaja|If your idea is not against your conscience or the will of God, go for it
W. Kamau Bell, The Awkward Thoughts of W. Kamau Bell: Tales of a 6' 4", African American, Heterosexual, Cisgender, Left-Leaning, Asthmatic, Black and Proud Blerd, Mama's Boy, Dad, and Stand-Up Comedian|Maybe your aunt is funny in quiet moments with her friends because like many women her age, she was taught to not draw attention to herself. And maybe she also noticed how men of her generation weren't attracted to the women who spoke out of turn and uttered their own opinions out loud. And certainly these types of men weren't attracted to women who were funnier than them. Women have always been funny. They just weren't interested in sharing their jokes with you. Truth in point, my mom is hilarious. She has also been single since 1974.
Alice Munro, Too Much Happiness|It almost seemed as if there must be some random and of course unfair thrift in the emotional housekeeping of the world, if the great happiness--however temporary, however flimsy--of one person could come out of the great unhappiness of another.
Lisa Kleypas, Married By Morning|He kissed her. Without warning, without permission. Without even deciding to do it, but simply because he couldn't have done anything else. He needed that breath she was holding. It belonged to him, and he wanted it back.
