Paolo Bacigalupi, The Water Knife|Jesus walked on water, so maybe he makes aquifers, too.
Mike Basevic, No Limits, Mastering the Mental Egde: The Class They Don't Teach You in School|Early morning mist ghosted along the Orm, trailing above the water, rising and twisting. Wide and sleek and almost silent, the river curled through the valley, curved almost to the doors of the stone-terraced cottages sunk tight in the moorland. As soon as he was beyond sight of the mill gates, Manny ran, his step lighter, his boots crunching against the highway. The village was quiet now, and he could hear the faint cries of sheep on the hillside. He felt suddenly exultant at having acted decisively, felt the thrill of running away. Then he reasoned with himself that he wasn’t so much running away as running to something else—something better—running away to take charge of his future. He was improving his station in life, looking for work of his choosing.
jonathon acuff|Sometimes, you have to shot block a friend's prayer because she's asking God to bless an obviously bad dating relationship.
Paul Tournier|Let us not seek to bring religion to others, but let us endeavor to live it ourselves.
AR Bharaty|There is no playing safe with me any longer. I only take huge risks. I know this means I can lose big time, but so long as there is a chance that I will win big time, I will take it
Vinoba Bhave|Collective freedom provides the basic conditions for people to narrate their own lives, hold power accountable, and embrace a capacious notion of human dignity.
Markus Zusak, The Book Thief|Somewhere, far down, there was an itch in his heart, but he made it a point not to scratch it. He was afraid of what might come leaking out.
Matthew Williamson, From the Inside Out|..and though my internal organs were Barry White, my stamina had skipped CDs and decided to be more Vanilla Ice.
Ina Catrinescu, Love of Fate|Your mind is like this water, my friend. When it is agitated, it becomes difficult to see. But if you allow it to settle, the answer becomes clear.
Tom Petty|For a time in high school, I had glasses, braces, and a cast. I like to call this look 'no date for homecoming.'
Azim Premji|A number of bloggers in economics and the financial sector have risen to prominence through the sheer strength of their work. Note it was not their family connections nor ties to Ivy League schools or elite banks, but rather the strength of their research, analysis and writing.
Lita Burke, Old Bony Blue Eyes|Acid gave me a clinical, unblinking look at madness, and I discovered I wasn't brave enough to be insane.
Susan C. Young, The Art of Action: 8 Ways to Initiate & Activate Forward Momentum for Positive Impact|If being brave were easy, more people would be.
Dave Guerrero|He was skinny with soft hair, and his thick, murky eyes watched as the stranger played one more song in the heavy room. From face to face, he looked on as the man played and the woman wept. The different notes handled her eyes. Such sadness.
Mary Balogh, Someone to Love|But marriage is forever.''Oh, not really,' he assured her. 'Only until one of us dies.'Her eyes widened. 'I do not want you to die,' she said.'Perhaps you will go first,' he said, though I rather think I hope not. I would probably have grown accustomed to you by then and would miss you.
Isabella Rogge, Sanguine Moon|Together we can take this world, and all those whose knees have never felt the sting of the earth will bow to us
Si Robertson|A mistake? The most passionate night of his life was a mistake? Her first time and that’s what she thought. That grated on him in the worst way. “Is that what you think, Beth?”“Don’t call me that.”“Why, Beth?”“You know I hate that name.”“Oh, so sorry, Beth. I do apologize, Beth.” He was being petty and he knew it, but he didn’t give a damn. She’d always brought out the very worst in him.She reached up and twisted his ear. “Ow!”“Out of my way, Robert Lemonade,” she said casually, pissing him off in the worst way.
Vanshicca Dhyani|The reason why some of us love when it rain is because it fills in the faults of our broken hearts and makes us feel complete, even if it is temporary.
Richard Dawkins, Science in the Soul: Selected Writings of a Passionate Rationalist|Men are excessively ruthless and cruel not as a rule out of malice but from outraged righteousness. How much more is this true of legally constituted states, invested with all this seeming moral authority of parliaments and congresses and courts of justice! The destructive capacity of an individual, however vicious, is small; of the state, however well-intentioned, almost limitless. Expand the state and the destructive capacity necessarily expands too. Collective righteousness is far more ungovernable than any individual pursuit of revenge. That was a point well understood by Woodrow Wilson, who warned: 'Once lead this people into war and they'll forget there ever was such a thing as tolerance.
Ann Voskamp, One Thousand Gifts: A Dare to Live Fully Right Where You Are|Joy is the realest reality, the fullest life, and joy is always given, never grasped. God gives gifts and I give thanks and I unwrap the gift given: joy.
