Emily Brontë, Wuthering Heights|Unrequited love is a ridiculous state, and it makes those in it behave ridiculously.
Gena Showalter, Animal Instincts|Ten Things You Shouldn't Say on a Date.1. You're wearing that?2. Something smells funny.3. Where's the Tylenol?4. And to think, I first wanted to date your brother.5. I have a confession to make…6. My dad has a suit just like that.7. That man is hot. Look at him.8. My ex, may he rot in hell forever…9. You're going to order that? Seriously?10. You're how old?
Chuck Palahniuk, Choke|If you can change the way people think, she said.The way they see themselves.The way they see the world.If you do that, you can change the way people live their lives.And that's the only lasting thing you can create.
Deyth Banger|If your life itself is not a message then no matter what you preach, your preaching will become a hypocrisy.
Meredith Russo, If I Was Your Girl|I felt guilty all of a sudden, as if just by existing and talking to him I was leading him on.
Vinita Kinra|We must all understand that life holds a lot of broken bits and pieces. We have storms and trials and sometimes fall flat on our face. It is how we are able to create something from this that will enable us to love ourselves more. It will help us to feel complete, whole and beautiful and allow us to soar.
bell hooks, remembered rapture: the writer at work|No black woman writer in this culture can write "too much". Indeed, no woman writer can write "too much"...No woman has ever written enough.
George R.R. Martin, A Dance with Dragons|She had no time for sleep, with the weight of the world upon her shoulders. And she feared to dream. Sleep is a little death, dreams the whisperings of the Other, who would drag us all into his eternal night.
Jacques Philippe, Interior Freedom|No circumstance in the world can ever prevent us from believing in God, from placing all our trust in him, from loving him with our whole heart, or from loving our neighbor. Faith, hope, and charity are absolutely free, because if they are rooted in us deeply enough, they are able to draw strength from whatever opposes them! If someone sought to prevent us from believing by persecuting us, we always would retain the option of forgiving our enemies and transforming the situation of oppression into one of greater love. If someone tried to silence our faith by killing us, our deaths would be the best possible proclamation of our faith! Love, and only love, can overcome evil by good and draw good out of evil.
Sherwood Anderson, Poor White|He wondered if he should try to talk to the boy like that. Perhaps the boy wondered why he didn't. But they had silence, and not many people had that.
Jane Austen, Emma|She looked back as well as she could; but it was all confusion. She had taken up the idea, she supposed and made everything bend to it.
Abu Bakr|I understand Tea Partyers' anger with the system, but they are in way over their heads and often racially motivated, and I can't be part of that.
John Powell, Will the Real Me Please Stand Up?: 25 Guidelines for Good Communication|When Marconi suggested the possibility of wireless transmission of sound (the radio),he was committed to a mental institution. But people like Lincoln, Edison, and Marconi were strongly motivated. So they didn't give up. They somehow knew that the only real failure is the one from which we learn nothing. They seemed to go on the assumption that there is no failure greater than the failure of not trying, and so they continued to try in the face of repeated failures.
Titus Lucretius Carus, On the Nature of Things|Furthermore, as the body suffers the horrors of disease and the pangs of pain, so we see the mind stabbed with anguish, grief and fear. What more natural than that it should likewise have a share in death?
Shane Carruth|'Harlem: The Unmaking of a Ghetto' is a surprise and a fresh way of looking at Harlem, connecting the black district with the architecture of its historical past.
J.Z. Colby, Journey|Some photographers could vomit on a piece of paper and call it art, you know... Hang it in the Guggenheim, or whatever. Sell a print for two hundred pounds? But I can't do that. I just-- Maybe I have too much respect for walls... or something.
Ludwig von Mises, The Theory of Money and Credit|For once the commodities have been sold that were already on the market when their price was authoritatively fixed at a level below that demanded by the situation of the market, then the emptied store-rooms are not filled again. Charging more than a certain price is prohibited, but producing and selling has not been made compulsory. There are no longer any sellers. The market ceases to function. But this means that economic organization based on division of labour becomes impossible. The level of money-prices cannot be fixed without overthrowing the system of social division of labour.
