Ruth Rendell|I think to be driven to want to kill must be such a terrible burden".
Joan Rivers|The worst thing about Halloween is, of course, candy corn. It's unbelievable to me. Candy corn is the only candy in the history of America that's never been advertised. And there's a reason. All of the candy corn that was ever made was made in 1911. And so, since nobody eats that stuff, every year there's a ton of it left over.
Henry Louis Gates|Well, certainly one of the ironies of the success of affirmative action is that the middle class within the black community no longer lives within 'black community' by and large.
Janet Evanovich, To the Nines|Bob had a dog buscuit stuck to his head. "How does he always get food stuck to him?" I asked Morelli. "I don't know," Morelli said. "It's a Bob mystery. I think stuff falls out of his mouth and he rolls in it. I'm not sure."-Morelli And Stephanie
C.S. Lewis, Prince Caspian|Why have your followers all drawn their swords, may I ask?" said Aslan."May it please Your High Majesty," said the second Mouse, whose name was Peepiceek, "we are all waiting to cut off our own tails if our Chief must go without his. We will not bear the shame of wearing an honor which is denied to the High Mouse.""Ah!" roared Aslan. "You have conquered me. You have great hearts. Not for the sake of your dignity, Reepicheep, but for the love that is between you and your people, and still more for the kindness your people showed me long ago when you ate away the cords that bound me on the Stone Table (and it was then, though you have long forgotten it, that you began to be Talking Mice), you shall have your tail again.
Nikki Rowe|It's ok to do your own thing for a while sometimes the call of the soul is a much more enticing path then one of a drunken phone call from your pals, call it the 21st century or whatever you wish but most live for the weekend untying the knots & ropes of slavery from during the week with no drive nor purpose to become something more than a pay check & a good time every 5 days.
Andrew Forsthoefel, Walking to Listen: 4,000 Miles Across America, One Story at a Time|Life is fast, and I’ve found it’s easy to confuse the miraculous for the mundane, so I’m slowing down, way down, in order to give my full presence to the extraordinary that infuses each moment and resides in every one of us.
Abhijit Naskar|A nation with a thousand awakened citizens and a corrupt leader, is much more alive than a nation with an awakened leader and a thousand corrupt citizens.
Archibald Marwizi, Making Success Deliberate|Open the door for communication and interact with your children. Provide the answers (if you don’t know, look for them or get expert advice). Guide them on how to deal with other sources of information – friends, TV, other media, society or the internet. Coaching empowers them to make their own informed, quality decisions.
Richie Norton, The Power of Starting Something Stupid: How to Crush Fear, Make Dreams Happen, and Live without Regret|Wouldn't it be amazing if you could travel into the future, see where you messed up, and then go back in time to rearrange things in order to make your future better? You can. If you can foresee regret, you can mind-travel to the future. If you can train yourself to mind-travel effectively, you can intentionally affect your future by doing something about it today.
Sarah Dessen, Along for the Ride|The master always keeps a piece of learning--that is to say, a piece of the student's ignorance--up his sleeve. I understood that, says the satisfied student. You think so, corrects the master. in fact, there's a difficulty here that I've been sparing you until now. We will explain it when we get to the corresponding lesson. What does this mean? asks the curious student. I could tell you, responds the master, but it would be premature: you wouldn't understand at all. It will be explained to you next year. The master is always a length ahead of the student, who always feels that in order to go farther he must have another master, supplementary explications. Thus does the triumphant Achilles drag Hector's corpse, attached to his chariot, around the city of Troy.
