Michael Pollan, The Omnivore's Dilemma: A Natural History of Four Meals|a man who was, as we say in the restaurant business, one taco short of a combo platter.
Criss Jami|In my experiences, the common critic of Christianity, when he thinks of Christianity, imagines a sort of elementary, Sunday School blunder of elements: fiery Hell, an angry God, 'try not to sin', 'be good so that you can go to Heaven', absurd miracles, hyper-fundamentalist tales, religious hypocrites, and Jesus telling people not to judge. There is no horse more dead than such. I maintain that understanding Christianity and the Bible is quite like painting a piece of art. Let a toddler paint a puppy; then let an adult who is a long-time painter paint the very same puppy. They are both paintings of the puppy, but one is far more detailed, rational, realistic, and believable than the other. One is distorted and comical; the other is proportional and lively. One can write off Theology if he so pleases, but he might not be very wise in using the toddler's painting when it comes time to identify the real puppy or when trying to confront actual men of the Faith.
Kilroy J. Oldster, Dead Toad Scrolls|We are the directors of our own life, creating our own version of truth, which can be humorous, pleasurable, miserable, brutal, or stupid. Reconciling loss and misfortune can provide a sense of sublimity or catharsis.
Diana Gabaldon, The Fiery Cross|I will have papers. And whether it is one George or the other who rules in time - this land will be ours. And yours," he added softly, raising his eyes to Brianna's. "And your children's after you." I laid my hand on his, where it rested on the box. His skin was warm with work and the heat of the day, and he smelt of clean sweat. The hairs on his forearm shone red and gold in the sun, and I understood very well just then, why it is that men measure time. They wish to fix a moment, in the vain hope that so doing will keep it from departing
Russell Eric Dobda|Reality is constructed by our perception, and it does not actually exist without it.
Catherine Deneuve|In today's world, America's soft power is commonly thought to reside in the global popularity of Hollywood movies, Coca-Cola, McDonald's and Starbucks.
Donald Pillai|Don't ever forget that life has nothing to do with what you are doing, but has everything to do with what you are being.
Jonathan Edwards, The Religious Affections|Take away all the moral beauty and sweetness in the Word, and the Bible is left wholly a dead letter, a dry, lifeless, tasteless thing. By this is seen the true foundation of our duty, the worthiness of God to be so esteemed, honoured, loved, submitted to, and served, as He requires of us, and the amiableness of the duties themselves that are required of us. And by this is seen the true evil of sin; for he who sees the beauty of holiness must necessarily see the hatefulness of sin, its contrary. By this men understand the true glory of heaven, which consists in the beauty and happiness that is in holiness. By this is seen the amiableness and happiness of both saints and angels. He that sees beauty of holiness, or true moral good, sees the greatest and most important thing in the world, which is the fulness of all things, without which all the world is empty, no better than nothing, yea, worse than nothing. Unless this is seen, nothing is seen that is worth the seeing; for there is no other true excellency or beauty. Unless this be understood, nothing is understood that is worthy of the exercise of the noble faculty of understanding. This is the beauty of the Godhead, and the divinity of Divinity (if I may so speak), the good of the infinite Fountain of good; without which, God Himself (if that were possible) would be an infinite evil; without which we ourselves had better never have been; and without which there had better have been no being.
Anne Tyler, The Accidental Tourist|Dig within. Within is the wellspring of Good; and it is always ready to bubble up, if you just dig.
Jules Verne|With regard to sleep and waking, we must consider what they are: whether they are peculiar to soul or to body, or common to both; and if common, to what part of soul or body the appertain: further, from what cause it arises that they are atributes of animals, and whether all animals share in them both, or some partake of the one only, others of the other only, or some partake of neither and some of both.
Leah Rooper, Jane Unwrapped|Do you really think that Tutankhamen would have taken a chance on some pale girl with pretty eyes had you not been the priestess of Anubis?”“You did.” The words fall out of me.“What?”I look up at him. “You took a chance on me.” I sit up, breath heavy in my throat. “When I was nothing but a dead, lost thing.
Georgina Chapman|I loved everything about my wedding look, but, in retrospect, I would have changed the position of where we attached the veil on my head. Make sure you test a few different placements and styles before the big day to make a clear vision and plan with your hairstylist.
