Thomas Mann|Walk tall, or baby don't walk at all.
Aaron B. Powell, Doomsday Diaries|I kept trying to explain and he kept shouting until I began to cry from frustration. Then he felt remorseful, which was so unlike him and endearing that I almost changed my mind and said yes. But then I imagined a lifetime of having to cry to get him to be kind, and I went back to no again.
Leah Spiegel, Foolish Games|If he'd been any other boy, and this was any other world, I would have kissed him. Nothing could have stopped me.
Marcel Proust, The Guermantes Way|In a way, losing hope and losing importance are the same thing. It is that youthful vibrance, that eternal longing and believing, that makes youth so important--if you grow old and lose that without finding another way to be important, you will slip away, fall into insignificance, like one sheet of paper. You may be useful, but you will never stand out from the crowd. You cannot look at a piece of paper and say, "I remember you." You never can.
Imania Margria|No matter what happens in your life, keep an open heart and mind with a gentle smile. It's the true beauty of the heart.
Eoin Colfer, Artemis Fowl|Monsters exist, but they are too few in number to be truly dangerous. More dangerous are the common men, the functionaries ready to believe and to act without asking questions.
Charlotte Brontë, Villette|Where the bodily presence is weak and the speech contemptible, surely there cannot be error in making written language the medium of better utterance than faltering lips can achieve?
Frank Lloyd Wright|Be the man who has the spirit of a ruthless tiger, ravaging every dusty corner of my soul.Be the man for whom I will tame myself voluntarily..Be the man who can make me forget my birth date in moments of utter dellusion.Be the man whose arms are my harbor, whose lips are my shore, and whose name is my only salvation.Be the man who erases my past and draws my future with trails of roses and kisses.Be the man who makes me sigh behind the windows of Poetry, longing to be written. Be the man whose cigarette's ashes are confounded with mine.Be the man whose voice moves mountains inside me.Be the man whose eyes devour the innocence within me with every piercing glance.Be the man for whom I will transform exceptions into rules.Be the man who will dare to tear this poem from my hands.The man who will rewrite with the uncertainty of the futur every single one of my verses.
Benny Bellamacina, Philosophical Uplifting Quotes and Poems|In true love, one has no reservations.True love is unquestionable,indisputable and totally recognizable.
Winston Graham, Jeremy Poldark|It isn't where you're born in this world, it's what you do.
Bob Dylan, Tarantula|look, you know i don't wanna come on ungrateful, but that warren report, you know as well as me, just didn't make it. You know, like they might as well have asked some banana salesman from des moines, who was up in toronto on the big day, if he saw anyone around looking suspicious/...
Matshona Dhliwayo|When excellence comes in at the door, failure flies out the window.
Rosamund Lupton, Sister|You fueled my obession, even encouraged it and your selfishness ruined my life
E.M. Forster, The Longest Journey|Sometimes a little song is sweet to hear, even if the orchestra is more accomplished
Linda Seger, Making a Good Script Great|How the story is read is very important is it soft, is it in dry way or smooth...
Anne Rice, Memnoch the Devil|Do you know what I think about crying? I think some people have to learn to do it. But once you learn, once you know how to really cry, there's nothing quite like it. I feel sorry for those who don't know the trick. It's like whistling or singing.
Henri J.M. Nouwen|First, silence makes us pilgrims. Secondly, silence guards the fire within. Thirdly, silence teaches us to speak.
L. Ron Hubbard|When a work of painting, music or other form attains two-way communication, it is truly art. One occasionally hears an artist being criticized on the basis that his work is too 'literal' or too 'common.' But one has rarely if ever heard any definition of 'literal' or 'common.' And there are many artists simply hung up on this, protesting it. Also, some avant-garde schools go completely over the cliff in avoiding anything 'literal' or 'common'—and indeed go completely out of communication! The return flow from the person viewing a work would be contribution. True art always elicits a contribution from those who view or hear or experience it. By contribution is meant 'adding to it.’ An illustration is 'literal' in that it tells everything there is to know. Let us say the illustration is a picture of a tiger approaching a chained girl. It does not really matter how well the painting is executed, it remains an illustration and it is literal. But now let us take a small portion out of the scene and enlarge it. Let us take, say, the head of the tiger with its baleful eye and snarl. Suddenly we no longer have an illustration. It is no longer 'literal.' And the reason lies in the fact that the viewer can fit this expression into his own concepts, ideas or experience: he can supply the why of the snarl, he can compare the head to someone he knows. In short, he can CONTRIBUTE to the head. The skill with which the head is executed determines the degree of response. Because the viewer can contribute to the picture, it is art. In music, the hearer can contribute his own emotion or motion. And even if the music is only a single drum, if it elicits a contribution of emotion or motion, it is truly art.
