Jonathan L. Walls|Not only does evil depend upon good, but in this case, darkness depends upon light.
A.A. Gill, To America with Love|Princes always are always happy to see developing among their subjects the taste for agreeable arts and for superfluities which do not result in the export of money. For quite apart from the fact that with these they nourish that spiritual pettiness so appropriate for servitude, they know very well that all the needs which people give themselves are so many chains binding them. When Alexander wished to keep the Ichthyophagi dependent on him, he forced them to abandon fishing and to nourish themselves on foods common to other people. And no one has been able to subjugate the savages in America, who go around quite naked and live only from what their hunting provides. In fact, what yoke could be imposed on men who have no need of anything?
Tove Jansson, Finn Family Moomintroll|Then -- they saw the Groke. Everybody saw her. She sat motionless on the sandy path at the bottom of the steps and stared at them with round, expressionless eyes.She was not particularly big and didn't look dangerous either, but your let that she was terribly evil and would wait for ever. And that was awful.Nobody plucked up enough courage to attack. She sat there for a while, and then slid away into the darkness. But where she had been sitting the ground was frozen!
Ronald Kessler|I think that Obama's failure to reestablish the rule of law in money matters is the most damaging thing that he's done - and perhaps the most damaging thing that has happened in American politics in my lifetime. Because once the rule of law is absent in money matters, then anything really goes in politics.
|A lot of people spend so much time trying to look rich, that they forget that the plan is to get rich.
Adam Nevill, The Ritual|Living in Hell kept him aware of the possibility of Heaven, and he’d never felt more alive.
Bruno Schulz, The Street of Crocodiles|They were villages forgotten in the depth of time, peopled by creatures chained forever to their tiny destinies.
David Letterman|Based on what you know about him in history books, what do you think Abraham Lincoln would be doing if he were alive today? 1) Writing his memoirs of the Civil War. 2) Advising the President. 3) Desperately clawing at the inside of his coffin. 
Osho, Bliss: Living beyond happiness and misery|Shepherds, did they but know it, walk through greater halls than kings.
Harry Overstreet|To the immature, other people are not real.
Andrew-Knox B Kaniki|Cultivating an attitude of gratitude begins with counting your blessings. In simpler terms, gratitude is expressing thanks for gifts we receive. Genuine gratitude helps us to see the little things in life that are often overlooked, yet so precious.
Veronica Roth, Allegiant|Your voice is strongest when you remain firm, when you are not moved by your circumstance. For we must not permit others to define who we are or what we stand for.
Abraham Lincoln|My greatest concern is not whether you have failed, but whether you are concerned with your failure.
Elliot Deline|Lady Vennaway is a horrible, horrible woman, is she not, Cookie?'Cook hesitated. "Everyone has their own story, even those we find the hardest. Best to accept things the way they are and count your blessings.
Jeff Rice, The Night Stalker|He wasn’t sure why he felt so compelled to follow the singing, or why he needed to bring the foot with him, but he knew the two phenomena were connected. And in the midst of the mystery lay his father. His father’s sanity. Nicholas was sure of this.
Jennifer Egan, The Invisible Circus|Funny thing about the monster.The worse he treats you, the more you love him.
Josh Burggraf, Digestate: A Food & Eating Themed Anthology|Lies are taught by force, truth is taught by choice.
Matthew Desmond, Evicted: Poverty and Profit in the American City|But it was not enough simply to perceive injustice. Mass resistance was possible only when people believed they had the collective capacity to change things. For poor people, this required identifying with the oppressed, and counting yourself among them—which was something most trailer park residents were absolutely unwilling to do.
Tadao Ando|With 'Acid Rap,' I allowed myself to be really open-minded and free with who I allowed into my musical space. I wanted to make a cohesive product, but I also just want to make a bunch of dope songs inspired by whatever sounds I liked.
Donna Lynn Hope|We had a good marriage," he said. "I just thought it would be so much longer." Then he shrugged, and coughed away a sob, this thin man in his sixties with the soft androgynous face that aging seemed to bring, as though all the hormones were finally mixed up in a big coed pot because it just didn't matter anymore.
Samael Aun Weor, Beyond Death: What You Should Know about the Afterlife: the Gnostic Book of the Dead|Three marital bonds exist: Karmic, Dharmic and Cosmic. The first are of pain, misery, hunger, nakedness, disgrace. The second are of success, bliss, love, financial progress, etc. The third are only for the select, pure and holy souls and bring inexhaustible happiness.
George Sand|It is warm, I am alive, I am calm and sad, I hardly know why. In this existence so even, so tranquil, and so gentle as I have here, I am in an element that weakens me morally while strengthening me physically; and I fall into melancholies of honey and roses which are none the less melancholy. It seems to me that all those I love forget me, and that it is justice, because I live a selfish life having nothing to do for any one of them.
