Alex Hirsch, Gravity Falls: Journal 3|Life is totally unbelievable. Enjoy it at its fullest, with no regrets.
Geoffrey Wood|She herself, as she had said, was oddly enjoying the snowy night. She had seldom had reason to be abroad in such weather at night, and she had forgotten, or never noticed, how clear the sky was or how brightly the stars twinkled down. They might have been the only ones alive in the whole world, for it was deadly still, the eerie light giving the night almost a magical quality. Everyday items were rendered mysterious and beautiful by their layer of white, and the only sounds were those they made, of creaking leather and the crisp squeak of snow underfoot.
Tennessee Williams|Nobody sees anybody truly but all through the flaws of their own egos. That is the way we all see ...each other in life. Vanity, fear, desire, competition-- all such distortions within our own egos-- condition our vision of those in relation to us. Add to those distortions to our own egos the corresponding distortions in the egos of others, and you see how cloudy the glass must become through which we look at each other. That's how it is in all living relationships except when there is that rare case of two people who love intensely enough to burn through all those layers of opacity and see each other's naked hearts.
Travis Bradberry|They didn't want it good, they wanted it Wednesday.
Adrian R. Lewis|As history has shown, any new computing device capable of running a game will, by hook or by crook, soon have them available. (aka, the "Loguidice Law")
Maitreya Rudrabhayananda|Death will always be a part of life, and life will always be a part of death
Cynthia Hand|Another silence for the record books. Then he sighs."I know. It's crazy. I feel like --" He stops himself. He suddenly looks so miserable that my heart aches for him.I hate my life.
John Banville, The Sea|The problem with aging is not that it's one damn thing after another—it's every damn thing, all at once, all the time.
Billy Graham, Billy Graham in Quotes|In America we have an idolatry called the “adulation of youth.” Apparently distressed by their inability to communicate with the younger generation, many adults simply imitate it.
Albert Einstein|The world is a dangerous place to live, not because of the people who are evil, but because of the people who don't do anything about it.
R. Alan Woods, The Journey Is the Destination: A Book of Quotes With Commentaries|Continual prayer is a lifestyle."~R. Alan Woods [2013]
Richelle E. Goodrich|By small and simple sentences, great books come to pass.
Paulo Coelho, Veronika Decide Morir - Tapa Azul|I'd just be the catcher in the rye and all. I know it's crazy, but that's the only thing I'd really like to be. I know it's crazy.
Thea Harrison, Pia Does Hollywood|He was a contented dragon, not a tame one.
Almaas, A.H.|...suffering is not a problem that can be solved therapeutically; it is not a matter of emotional conflict. Psychologists and psychotherapists deal usefully with human suffering by working on the conflicts of the personality, but from the perspective of spiritual teachings this approach clearly cannot deal with the basic problem, the root of all emotional conflicts.When the Buddha said that life is suffering, he did not mean only neurotic suffering. He was referring to the more fundamental understanding that there is bound to be suffering in the life of the ego, because one is not seeing reality correctly; one is taking oneself to be something that actually does not exist. It is a problem of mistaken identity" - (The Pearl Beyond Price, 28).
Eudora Welty, On Writing|In real life I fell easily under the spell of all traveling artists. En route to New Orleans, entertainments of many kinds would stop over in those days for a single performance in Jackson's Century Theatre. Then, as now, my imagination was magnetized toward transient artists - toward the transience as much as the artists. I must have seen "Acrobats in a Park" at the time I wrote the story as exotic, free of any experience as I knew it. At the center of the little story is the Zorro's act: the feat of erecting a structure of their bodies that holds together, interlocked, and stands like a wall. Writing about the family act, I was writing about the family itself, its strength as a unit, testing its frailty under stress. I treated it in an artificial and oddly formal way; the stronghold of the family is put on view as a structure built each night; on the night before the story opens, the Wall has come down when the most vulnerable member slips, and the act is done for. But from various points within it and from outside it, I've been writing about the structure of the family in stories and novels ever since. In spite of my uncompromising approach to it, my fundamental story form might have been trying to announce itself to me.
