Darnell Dockett|My fans are definitely my shareholders, and I'm extremely thankful for them.
Thomm Quackenbush, A Creature Was Stirring|Maybe I have never had the Christmas I remember, since we never remember the event itself but just the last time we revisited the memory. I have woven together a few dozen scraps (the Sears catalog, my father videoing everything we did, Christmas parties and visits with Santa) and pretended they amount to one perfect, cohesive moment, but I am as guilty as baby-boomers, who dictated unconsciously that all the songs they listened to in 1963 would be the timeless Christmas standards of today.
Craig D. Lounsbrough|In the end, if we don't have God we don't have anything other than an end.
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|We must remember that some hand gestures which are commonly used and widely accepted in the U.S. might be considered rude or offensive in other countries. As always, I encourage you to be mindful of how and where you use certain gestures to assure you maintain your professionalism and positive impressions.
Winston S. Churchill|There is no doubt that it is around the family and the home that all the greatest virtues, the most dominating virtues of human, are created, strengthened and maintained.
Carolina De Robertis, Radical Hope: Letters of Love and Dissent in Dangerous Times|I dug her usage of "Spotify" as a verb.
Kiersten Fay, Demon Possession|It wasn't till Sebastian began to stalk toward her that she recalled her situation. She was wet and half naked, alone in a room with a strong brutish male of unknown intentions.
John Sloan, Gist of Art: Principles and Practise Expounded in the Classroom and Studio|If we lost everything except for the clothes we stood up in, would we turn to each other and think....How lucky we really were?
Forrest Curran, Purple Buddha Project: Purple Book of Self-Love|Sacrifice is a terribly difficult thing to do, of which you will be asked to do many times along your path. Only with genuine love will you be able to make these sacrifices because often times you will simply want to refuse the sacrifices that the universe asks of you to make. When you close one door, another opens; that is how the universe works and through sacrifice we are given the keys to the next door in life.
Britany Lopez|Few problems are less recognized, but more important than, the accelerating disappearance of the earth's biological resources. In pushing other species to extinction, humanity is busy sawing off the limb on which it is perched.
Jocelyn Lieu|I can't help thinking of Jackson Pollock, who poured, splattered and lashed the canvass with strings of paint. His process was about snaring not only a vision, but the moment the vision occurred to him. The paint becomes a net cast around something too fast to be caught. The bare spaces between the net's strands are as significant as the strands themselves because they hint at what can't be painted, can't be described.
Liane Moriarty, Big Little Lies|Parents who always whisper the word "sex" unintentionally tell their kids, "I don't want to talk about this. Get your answers elsewhere.
Seinfeld 2000, The Apple Store|Here’s a 165-year old but still fitting comment on public officials who are so sure they’re right that they’ll drive over a cliff rather than compromise: “Always to be right, always to trample forward, and never to doubt – are not these the great qualities with which dullness takes the lead in the world?” William Makepeace Thackeray, Vanity Fair: a Novel without a Hero (1848).The author’s middle name really was “Makepeace.” As the quote shows, he disliked those who would not.
Isaac Marion, Warm Bodies|Of course, if I eat all of him, if I spare his brain, he'll rise up and follow me back to the airport, and that might make feel better. I'll introduce him to everyone, and maybe we'll stand around and groan for a while. It's hard to say what 'friends' are any more, but that might be close.
Child, Lee|I’ve been so careful my whole life that I don’t even want to imagine what I’ve missed.” Sara realized she was speaking so quickly she hadn’t taken a breath, and suddenly felt lightheaded. “I can’t miss you.
Carol Shields, The Stone Diaries|It has never been easy for me to understand the obliteration of time, to accept, as others seem to do, the swelling and corresponding shrinkage of seasons or the conscious acceptance that one year has ended and another begun. There is something here that speaks of our essential helplessness and how the greater substance of our lives is bound up with waste and opacity... How can so much time hold so little, how can it be taken from us? Months, weeks, days, hours misplaced – and the most precious time of life, too, when our bodies are at their greatest strength, and open, as they never will be again, to the onslaught of sensation.
