Cameron Conaway, Caged: Memoirs of a Cage-Fighting Poet|The words he said, too, must be human enough to bleed.
Elton Trueblood, Abraham Lincoln: Lessons in Spiritual Leadership|He (Lincoln) recognized the delicate balance between immanence and transcendence, refusing to settle for either of these alone. His was a God who was both in the world and above the world.
Evelyn Waugh|He's never quite got the trick of conversation, tending to hear in dissenting views, however mild, a kind of affront, an invitation to mortal combat.
eeton101|Are these soldiers really our enemy, or only the worst reflection of our own selves?... We made them. We have to unmake them, not just defeat or kill them.
Edward Everett Hale|Not in his speech, not in his thoughts, I see his greatness, only in his actions, in his life.
William Shakespeare, King Lear|He’s mad that trusts in the tameness of a wolf, a horse’s health, a boy’s love, or a whore’s oath.
Victoria Aveyard, Red Queen|The care of your body is one of the most important investments you can make. What good are expensive clothes, cars, and clutter when your body is sick from neglect? No purchase is worth more than the value of your wellness. Think about your priorities. Is an hour of browsing social media worth more than an hour of strolling peacefully through nature? Is having an unhealthy meal out worth more than eating a healthy home cooked meal? You choose what abuse and neglect to your body is worth it. You can choose to think that love for your life and your well being are worth more than anything else.
Foz Meadows|How can so many (white, male) writers narratively justify restricting the agency of their female characters on the grounds of sexism = authenticity while simultaneously writing male characters with conveniently modern values?The habit of authors writing Sexism Without Sexists in genre novels is seemingly pathological. Women are stuffed in the fridge under cover of "authenticity" by secondary characters and villains because too many authors flinch from the "authenticity" of sexist male protagonists. Which means the yardstick for "authenticity" in such novels almost always ends up being "how much do the women suffer", instead of - as might also be the case - "how sexist are the heroes".And this bugs me; because if authors can stretch their imaginations far enough to envisage the presence of modern-minded men in the fake Middle Ages, then why can't they stretch them that little bit further to put in modern-minded women, or modern-minded social values? It strikes me as being extremely convenient that the one universally permitted exception to this species of "authenticity" is one that makes the male heroes look noble while still mandating that the women be downtrodden and in need of rescuing.-Comment at Staffer's Book Review 4/18/2012 to "Michael J. Sullivan on Character Agency 
Gwenda Bond, Triple Threat|Conventional wisdom in Galbraith's view must be simple, convenient, comfortable and comforting - though not necessarily true.
Avan Jogia|Comedy can always be taken the wrong way. If I do a bit that is meant to diffuse racism or sexism, I'm not going to avoid it on the chance that a small portion of the audience might take it the wrong way.
Thomas Paine, The Age of Reason|Is it more probable that nature should go out of her course or that a man should tell a lie? We have never seen, in our time, nature go out of her course. But we have good reason to believe that millions of lies have been told in the same time. It is therefore at least millions to one that the reporter of a miracle tells a lie.	
Anthony Trollope, Autobiography of Anthony Trollope|(On Charles Dickens) It has been the peculiarity and the marvel of this man’s power, that he has invested his puppets with a charm that has enabled him to dispense with human nature.
