Paresh Shah|People don't have ideas, ideas have people.
John Cleese|It's not the despair, Laura. I can take the despair. It's the hope I can't stand. ~ Brian Stimpson, Clockwise 
Robert Jordan, The Fires of Heaven|Waiting turns men into bears in a barn, and women into cats in a sack.
Jalaluddin Rumi|In AA we don’t come to God through theology but through experience, mostly of the humbling and humiliating variety, often reluctantly, and sometimes even kicking and screaming. – p. 179
Eugene H. Peterson, Under the Unpredictable Plant an Exploration in Vocational Holiness|There's not enough wrong with it to leave and there's just enough wrong with it to stay," Matthew later told me. "Fight to change it.
Catherine Carrigan, What Is Healing? Awaken Your Intuitive Power for Health and Happiness|As we open our energy channels, we can cease the process of searching for love and begin the process of becoming an actual channel for love, allowing the force that drives the growth of flowers, summer rain, autumn wind, and winter snow to flow through us at the cellular level.
Margaret Atwood, The Blind Assassin|I and the girl in the picture have ceased to be the same person. I am her outcome, the result of the life she once lived headlong; whereas she, if she can be said to exist at all, is composed only of what I remember. I have the better view - I can see her clearly, most of the time. But even if she knew enough to look, she can't see me at all.
Peter H. Fogtdal, The Tsar's Dwarf|What was it Danilov told me before I left? Something about how one day I would stand at a crossroads where I could choose the Light, which illuminated the sky with its warmth and golden glow - or the Darkness, which at first seemed soothing and inviting, but which would consume me in its flames. But do I have to wait for that crossroads? Isn't it present at every moment of my life?
Tori Amos|You could have all the crazy thoughts you wanted, as long as you smiled and kept them to yourself.
Cassandra Clare, City of Fallen Angels|Clary made fun of him about his new look; but, then, Clary found everything about Simon's love life borderline hilarious.
Anthony Marra, A Constellation of Vital Phenomena|The best way that a man could test his readiness to encounter the common variety of mankind would be to climb down a chimney into any house at random, and get on as well as possible with the people inside. And that is essentially what each one of us did on the day that he was born.
Jodi Lynn Anderson|I think we could be friends," he said, falling into step with her. "It's perfect because I wouldn't fall in love with you, like I do with the mermaids. Girls always seem so exotic. But it would be okay with you, because you're more like...you know. Not like a girl." He shrugged.
Annie Dillard, The Writing Life|For me and most of the other writers I know, writing is not rapturous. In fact, the only way I can get anything written at all is to write really, really shitty first drafts.
Ben Marcus, Leaving the Sea|Whether through grains, beans, or even fruit, there’s plenty of protein in a plant-strong diet. We only need 5-8% of our calories from protein, and since protein is the one macronutrient that we can’t store, when you get above 15% it either stores as fat or we excrete it.
