Sunday Adelaja, The Mountain of Ignorance|When we begin to shine, the darkness of ignorance will disappear from our society.
Michael Moore|It’s true: greed has had a very bad press. I frankly don’t see anything wrong with greed. I think that the people who are always attacking greed would be more consistent with their position if they refused their next salary increase. I don’t see even the most Left-Wing scholar in this country scornfully burning his salary check. In other words, "greed" simply means that you are trying to relieve the nature given scarcity that man was born with. Greed will continue until the Garden of Eden arrives, when everything is superabundant, and we don’t have to worry about economics at all. We haven’t of course reached that point yet; we haven’t reached the point where everybody is burning his salary increases, or salary checks in general.
Louise Brown, The Dancing Girls of Lahore: Selling Love and Saving Dreams in Pakistan's Pleasure District|Love is like a rose. So beautiful to look at, yet so painful to touch.
Joe Ambercrombie|Sometimes your loved one doesn't understands that you need them,It hurts but when they say they knows you very well it hurts even more as u know its not true.
Kajal Aggarwal|In sports... you play from the time you're eight years old, and then you're done forever.
Richard K. Morgan, The Steel Remains|We cannot be judge and jury, the hardest thing is to understand the unknown and in knowing the hidden all things are revealed giving truth.God is watcher during all moments and at the end the real Judge.
Dolly Parton|When Paul Allen and I started Microsoft over 30 years ago, we had big dreams about software. We had dreams about the impact it could have.
Nicole  Lyons|I kept you so well, buried beneath the darkest shame and stilled with filthy lies. Perhaps I should have dug deeper.
Cecy Robson|So I flirt with disaster once or twice. Who doesn’t?”He snorted. “You don’t just flirt with disaster, you have intercourse with it.
E L Parfitt|I have the most fantastic, stupendous, magnificent idea. Why it’s better than television," he said, standing there in red, tartan pyjamas, his beard in a sleepy tangle. Dunn's Magnificent Idea
Q.M. Herrera, The Greatest Is Love|If you don't want somwone to change your life for you, you've got to change it yourself. (Vanishing Acts, pg. 339)
Tom Althouse, The Frowny Face Cow|Some people spend their whole lives seeking heaven, when all they needed to do was look about them, and embrace that which was already there.
John F. Kennedy|Two heads are better than one, not because either is infallible, but because they are unlikely to go wrong in the same direction.
Jasleen Kaur Gumber|First, the thoughts are chosen,then the prayers are spoken. The candles are lit,then the plea is submitted. But soon after you move away,there is wax;melting, adulterating and braiding-a new constellation up on your blanks.
Jim Bouton, Ball Four|I think I should be allowed to be only fair, or even mediocre, for a while.
Elliott Abrams|To be in any way a positive contribution, that's all anybody wants to be. It's all I've ever wanted to be. I wanted to be an artist, be a mother. You want to feel that in your life you've been of use, in whatever way that comes out.
Cassandra Clare, City of Fallen Angels|And second, keep in mind that you are a weapon. In theory, when you're done with training, you should be able to kick a hole in a wall or knock out a moose with a single punch.""I would never hit a moose," said Clary. "They're endangered.
Jon Katz|I treat politics kind of like my religion. It's something I believe in, but I don't want to have to make a living at it, because if you make a living at it, you somehow become dishonest.
Craig D. Lounsbrough, An Autumn's Journey: Deep Growth in the Grief and Loss of Life's Seasons|But the artist began to have misgivings as the wall underwent its transformation. Bigger than any pavement project he had yet undertaken, it made him restless. Over the years, a precise cycle had entered the rhythm of his life, the cycle of arrival, creation, and obliteration. Like sleeping, waking and stretching, or eating, digesting and excreting, the cycle sang in harmony with the blood in his veins and the breath in his lungs. He learned to disdain the overlong sojourn and the procrastinated departure, for they were the progenitors of complacent routine, to be shunned at all costs. The journey -- chanced, unplanned, solitary -- was the thing to relish.Now, however, his old way of life was being threatened. The agreeable neighborhood and the solidity of the long, black wall were reawakening in him the usual sources of human sorrow: a yearning for permanence, for roots, for something he could call his own....
