Ashley Ormon|Forgiveness is knowing and remembering what happened, but choosing to move beyond it.
Zainab Omaki, Side Babies: Contemporary Women In Africa|The chaos of their voices registers as a single, overwhelming force cutting off her ability to reason, and all she wants is to get as far away from people as possible.
Alyxandra Harvey, Bleeding Hearts|I couldn't convince her that if I had a book with me, I wasn't lonely.
Edvard Munch|Smiles, tears, of all my life! - and, if God choose, I shall but love thee better after death.
Dee Hock, One from Many: VISA and the Rise of Chaordic Organization|Life is not about control. It’s not about getting. It’s not about having. It’s not about knowing. It’s not even about being. Life is eternal, perpetual becoming, or it is nothing. Becoming is not a thing to be known, commanded, or controlled. It is a magnificent, mysterious odyssey to be experienced.
John Speed, The Temple Dancer|This is desire, daughter, the endless piercing that informs the universe throughout eternity,
Marieta Maglas|If you don't know the question, you are not ready for the answer.
Uzoma Nnadi|Some people said beware of enemies. Some said beware of friends and some said beware of frenemies, but the most dangerous people are those that will hurt you and still play the victim.
Lindsey Jacoby|Life is about learning from the past, embracing the present, and believing in the future.
Anthony Bourdain|If we stay with animal analogies for a moment, owners of dogs will have noticed that, if you provide them with food and water and shelter and affection, they will think you are god. Whereas owners of cats are compelled to realize that, if you provide them with food and water and shelter and affection, they draw the conclusion that they are god. (Cats may sometimes share the cold entrails of a kill with you, but this is just what a god might do if he was in a good mood.)
Alexei Maxim Russell, The Japanophile's Handbook|To my mind, this embracing of what were unambiguously children's characters at their mid-20th century inception seems to indicate a retreat from the admittedly overwhelming complexities of modern existence. It looks to me very much like a significant section of the public, having given up on attempting to understand the reality they are actually living in, have instead reasoned that they might at least be able to comprehend the sprawling, meaningless, but at-least-still-finite 'universes' presented by DC or Marvel Comics. I would also observe that it is, potentially, culturally catastrophic to have the ephemera of a previous century squatting possessively on the cultural stage and refusing to allow this surely unprecedented era to develop a culture of its own, relevant and sufficient to its times.
Michael Haneke|[A dog is] a bundle of pure love, gift-wrapped in fur.
Peter J. Tanous, The Secret of Fatima|The pope was lying fully stretched out on the floor, his body half-obscured by Cardinal Villot, who was leaning over him. Calvi's heart jumped into his throat. The pontiff 's eyes were shut, his face distorted in pain. He wasn't breathing. He was life-less, drained of color.
Barbara Demick, Nothing to Envy: Ordinary Lives in North Korea|So the criminals win, that's what you're saying? For now they do. But it's a long game, Jamison. And I always play for the long game.
Fulton J. Sheen|It is not so much what people suffer that makes the world mysterious; it is rather how much they miss when they suffer. They seem to forget that even as children they made obstacles in their games in order to have something to overcome. Why, then, when they grow into man’s estate, should there not be prizes won by effort and struggle? Cannot the spirit of man rise with adversity as the bird rises against the resistance of the wind? Do not the game fish swim upstream? Must not the chisel cut away the marble to bring out the form? Must not the seed falling to the ground die before it can spring forth into life? Must not grapes be crushed that there may be wine to drink, and wheat ground that there may be bread to eat? Why then cannot pain be made redemption? Why under the alchemy of Divine Love cannot crosses be turned into crucifixes? Why cannot chastisements be regarded as penances? Why cannot we use a cross to become God-like? We cannot become like Him in His Power; we cannot become like Him in His Knowledge. There is only one way we can become like Him, and that is in the way He bore His sorrows and His Cross. And that way was with love. It is love that makes pain bearable.
