Deyth Banger|In life and love, there are no impossibilities.
Ed Sheeran|In the end nothing matters but the work. You can’t control how it’s taken, and the act of telling a story always involves a gap. Sometimes confusion is the risk of ambiguity–I say that to students all the time. It’s true at the fireside and it’s true in the parlor, and it’s true in made-up towns and New York. Two humans face one another, words come out of one, words go into the other mind through the ears and eyes of the listener. It’s a story. It’s simple. The gap is the thing. Make sure you build the bridge.
Alicen Grey|No, I'm the human here. I'm the life at stake. I'm the one with fingernails, who feels pain.Me.
Sarah MacLean, One Good Earl Deserves a Lover|I hated myself for needing him at such times, for craving his strength whenever I felt upset.
Black Elk|I do think the heart can balance out the mind, if your heart is in a good place it can give you the strength to do the right thing and behave the right way and overcome the mind.
Edward Carpenter, The Intermediate Sex: A Study of Some Transitional Types of Men and Women|In its various forms, so far as we know them, Love seems always to have a deep significance and a most practical importance to us little mortals. In one form, as the mere semi-conscious Sex-love, which runs through creation and is common to the lowest animals and plants, it appears as a kind of organic basis for the unity of all creatures; in another, as the love of the mother for her offspring—which may also be termed a passion—it seems to pledge itself to the care and guardianship of the future race; in another, as the marriage of man and woman, it becomes the very foundation of human society. And so we can hardly believe that in its homogenic form, with which we are here concerned, it has not also a deep significance, and social uses and functions which will become clearer to us, the more we study it.
Gail Carriger, Soulless|Remember what you won't get if you don't mind," her grandfather remarked.
Annie Riley, The Seer|All real estate agents should be put on a decommissioned naval frigate which is then towed out into the deepest part of the Atlantic and sunk. It's rather unfortunate that, in recent years, real estate agents have become comedy betes-noires. Rather like lawyers or used car salesmen. Every time they mention their job they probably get people amusingly making the sign of the cross at them or are subjected to some good-natured, humorous ribbing. This has the effect of distorting what I'm trying to say here, which isn't in the nature of a smiling roll of the eyes and a "Tsk, real estate agents, eh?" but rather "All real estate agents should be put on a decommissioned naval frigate which is then towed out into the deepest part of the Atlantic and sunk.
Sara Baume, A Line Made by Walking|And out the bus window, here is my dead world come true, my whole dead world in motion.
Megan Whalen Turner, The King of Attolia|It isn't an easy thing to give your loyalty to someone you don't know, especially when that person chooses to reveal nothing of himself.
Richie Norton|It's called entrepreneurSHIP, not entrepreneurSIT. Don't wait. Just ship.
Stephen King, The Waste Lands|He felt like a compass needle. The needle knows nothing about magnetic north; it only knows it must point in a certain direction, like it or not.
Johnnie Dent Jr.|When you cannot find a pill for it, try taking a full dosage of responsibility
Dorothy Hartley|If everything I possessed, vanished, suddenly,I'd be sorry.But I value things unpossessed.The wind, and trees, and sky and kind thoughts, much more.
Viorel Muha|The only thing I want more than you, is to do right by you.
James Lee Burke, Jolie Blon's Bounce|But no one could say he hadn't gotten even. He could not count the field women whom he had sexually degraded and demoralized and in whom he had left his seed so their bastard children would be a daily visual reminder of what a plantation white man could do to a plantation black woman whenever he wanted, nor could he count the black men whom he had made fear his blackjack as they would fear Satan himself, making each of them a lifetime enemy of all white people.
R. Sharenow|The longer I don't write, the more I hurt.
Avicenna|What is this so-called 'employment flexibility'? It simply means that employers, in their quest to reduce costs whilst trying to meet the demands of globalisation, are disregarding the traditional job boundaries – often to the detriment of the unskilled, non-standard worker. Employers use non-standard workers to avoid restrictive labour laws and collective bargaining restraints. In addition, the practice provides them with more flexibility.
