|Stop chasing people who keep running away from your presence, because even if you succeed in catching them, sooner or later they would run away.
Peter Kreeft, Prayer for Beginners|We must pray in order to grow, and we must grow because Infinite Love will not, cannot, settle for less than the greatest joy of which his beloved creature is capable.
Deyth Banger|People want one book to read about the topic and to learn everything, unfortunately I was the same guy, the same person. Who wanted the same, but most stuff and for the most clever and intelligent people is mystery.
Rachel  Harris, Accidentally Married on Purpose|He set the helmet on the floor beside the door and slung his jacket over the back of one chair. He tilted his head sideways to look at her, one eyebrow raised. “I’m not going to ask why. I’m going to make assumptions.
Robert David Steele, The Open-Source Everything Manifesto: Transparency, Truth, and Trust|It was called the Middle Ages, the Dark Ages. If not for the monks, everything the world had ever learned would have been lost. Well, we live in a similar time, when we're losing the vast majority of what we do and see and learn. But it doesn't have to be that way.
Stephen Lovegrove, How to Find Yourself, Love Yourself, & Be Yourself: The Secret Instruction Manual for Being Human|It happened to me just this year with a beautiful boy I started hanging out with. Call me a hormonal teenager if you want, but evidently I haven’t grown out of this experience. His name, his voice, his face, his laugh - anything was enough to make my heart start beating faster. It’s the spark.
Hilary Mantel, Wolf Hall|It was hard to describe what she had sensed, but it had been distinct and clear, like the shape of a leafless tree against the sky, or a crow flying across a ploughed field. She hesitated to close her eyes again, for it had risen up close to her face like something appalling.
Melina Marchetta, Finnikin of the Rock|I shouldn’t have gone out so far, fish,” he said. “Neither for you nor for me. I’m sorry, fish.
Carl Sagan, The Demon-Haunted World: Science as a Candle in the Dark|Science is a way to call the bluff of those who only pretend to knowledge. It is a bulwark against mysticism, against superstition, against religion misapplied to where it has no business being.
John David Geib, Beyond Beliefs|I wonder what could happen if self-confessed followers of Jesus surrendered our human powers, and our desires for power, and began to celebrate openly our human weakness in exchange for the experience of Christ as Power within us. What could happen if, for Christ's sake, we openly delighted in our weaknesses, in insults, in hardships, in persecutions, in difficulties?
Diana Wynne Jones, Howl's Moving Castle|So you were going to rescue the Prince! Why did you pretend to run away? To deceive the Witch?""Not likely! I'm a coward. Only way I can do something this frightening is to tell myself I'm not doing it!
Mark R. Levin|Fat Charlie had had no real liking for the police, but until now, he had still managed to cling to a fundamental trust in the natural order of things, a conviction that there was some kind of power--a Victorian might have thought of it as Providence--that ensured that the guilty would be punished while the innocent would be set free. This faith had collapsed in the face of recent events and had been replaced by the suspicion that he would spend the rest of his life pleading his innocence to a variety of implacable judges and tormenters, many of whom would look like Daisy, and that he would in all probability wake up in cell six the next morning to find that he had been transformed into an enormous cockroach. He had definitely been transported to the kind of maleficent universe that transformed people into cockroaches.
Sara Blakely|A life lesson for me is, how do you muster the courage to take on a new risk? Whether it's starting up a business or taking on a new project or expedition. I think the risks that we take are all relative to the risk-taker.
Alice Roosevelt Longworth|If you could kick the person in the pants responsible for most of your trouble, you wouldn't sit for a month.
Lev Vygotsky|I think right now the way society's going, I think role models are important, and kids need direction. If I didn't have that direction growing up, who knows what I could be doing, because I've been lost many times in my life, and I've had to have someone guide me back on the right path.
George Takei|When Arnold Schwarzenegger vetoed the same-sex marriage bill, my blood was boiling. I had been silent, but that night, Brad and I watched the news and saw all these young people pouring out on Santa Monica Boulevard venting their rage, and I said, 'I have to speak out.'
Santosh Kalwar, That's My Love Story|You must take the world as you find it, with a struggle to be something more honest than those around you. Phineas, as he preached himself this sermon, declared to himself that they who attempted more than this flew too high in the clouds to be of service to men an women upon the earth
