Dick Van Dyke, Keep Moving: And Other Truths About Living Well Longer|Aging is scary but fascinating, and great talent morphs in strange and often enlightening ways.
Dezső Kosztolányi, Skylark|Anyone can see that an ass laden with books remains a donkey. A human being laden with the undigested results of a tussle with thoughts and books, however, still passes for wise.
Mary Oliver, A Thousand Mornings|What was it Isak Dinesen had said about salt as a cure? Tears, sweat, or the sea. She could use a cure.
Jason Silva|With any advent in technology, any technological innovation, there is the good and the bad.
Karen Kingsbury, Oceans Apart|I tell of hearts and souls and dances...Butterflies and second chances;Desperate ones and dreamers bound,Seeking life from barren ground,Who suffer on in earthly fateThe bitter pain of agony hate,Might but they stop and here forgiveWould break the bonds to breathe and liveAnd find that God in goodness bringsA chance for change, the hope of wingsTo rest in Him, and self to dieAnd so become a butterfly.
Niall Horan|Being single doesn't mean you're weak, it means that you're strong enough to wait for the right person.
Fredrik Backman, My Grandmother Asked Me to Tell You She's Sorry|Sorrow comes in great waves...but rolls over us, and though it may almost smother us, it leaves us. And we know that if it is strong, we are stronger, inasmuch as it passes and we remain.
Sunil Nagaraj|I'm not very good at dating. I'm very decisive. If I like someone, then they're my boyfriend. It's pretty straightforward.
Sarah Dessen|I didn't pretend to know Eli at all, but even so, I'd noticed that his manner was slightly hard to read. It was something in the way he talked that made it difficult to tell whether he was kidding or serious or what. This bothered me. Or intrigued me. Or both.
Debasish Mridha|When you slowly and gently get lost in love, you become infinite.
John Eldredge, Captivating: Unveiling the Mystery of a Woman's Soul|Watching them was like watching the sunset and the sunrise, equally beautiful in different ways.
Jurgen Klopp|Nobody, man or woman, has ever wrecked a good marriage.
Vishwas Chavan, Vishwasutras: Universal Principles for Living: Inspired by Real-Life Experiences|Success = Dream x Plan x WorkConscious dreams are essential components of your success. When you are backed up by a convincing dream, meticulous planning, and 100% execution, you are bound to be victorius.
Frank Tipler|While the climate crisis gathers front-page attention on a regular basis, people - even those who profess great environmental consciousness - continue to eat fish as if it were a sustainable practice.
Francis Collins|I think science fiction helps us think about possibilities, to speculate - it helps us look at our society from a different perspective. It lets us look at our mores, using science as the backdrop, as the game changer.
Ben Bryant|Yea, slimy things did crawl with legsUpon the slimy sea.
Billy Graham, Billy Graham in Quotes|The Charter of the United Nations said in its preamble: “We the people determined to save succeeding generations from war . . .” Can the United Nations save the world from war? The answer is No! It was conceived and created by statesmen who knew little of the significance of the biblical concept of history and the nature of man. When the perspective is wrong, the whole viewpoint will be wrong.
Glenn Hefley|If prevision be a fact, it is a fact which destroys absolutely the entire basis of all our past opinions of the universe.
Melody Carlson, Dark Blue: Color Me Lonely|It’s said that the shuffling of the cards is the earth, and the pattering of the cards is the rain, and the beating of the cards is the wind, and the pointing of the cards is the fire. That’s of the four suits. But the Greater Trumps, it’s said, are the meaning of all process and the measure of the everlasting dance.
Deborah Meyler, The Bookstore|Have you ever been on a roller coaster, Togawa-kun?You're only riding on it for a few minutes, right? If you spent the entire ride thinking "only so many seconds left... until this ride is over..." then what was the point of riding it in the first place?Nobody knows why we're alive. We don't have the time to bother.
Maurice Maeterlinck, The Treasure of the humble|Death has come and atoned for all. I have no grievance against the soul of the man before me. Instinctively do I recognise that it soars high above the gravest faults and the cruellest wrongs (and how admirable and full of significance is this instinct!). If there linger still a regret within me, it is not that I am unable to inflict suffering in my turn, but it is perhaps that my love was not great enough and that my forgiveness has come too late. …
Mehmet Murat ildan|If you are a path-creator, you don’t need a path!
