Jorge Luis Borges|Nothing is built on stone; All is built on sand, but we must build as if the sand were stone.
Richelle Mead, Shadow Kiss|But with Dimitri, I never felt like I had to be anything more what I already was. I didn't have to entertain him or think up jokes or even flirt. It was enough to just be together, to be completely comfortable in each other's presence..
Lee Odden, Optimize: How to Attract and Engage More Customers by Integrating SEO, Social Media, and Content Marketing|The marketing people are always talking about something called 'consumers'. I have this image of a fat little man in baggy Bermuda shorts, a Hawaiian shirt, and a straw hat with beer-can openers dangling from it, clutching fistfuls of dollars.
Bertrand Russell, Marriage and Morals|The fact that an opinion has been widely held is no evidence whatever that it is not utterly absurd; indeed in view of the silliness of the majority of mankind, a widely spread belief is more likely to be foolish than sensible.
1 Minuto na Palma da Mão|The way you make use of your brain, heart, and body, any consequence out of it, has to be faced by you. God or creator never interferes with your action or its consequence. Everything happens out of the process.
Curt Gabrielson, Tinkering: Kids Learn by Making Stuff|From the dawn of time, whenever humanity has wanted to know more, we have achieved it most effectively not by removing ourselves from the world to ponder and theorize, but rather by getting our hands dirty and making careful observations of real stuff. In short, we have learned primarily by tinkering.
Glenn Rockowitz, Rodeo In Joliet|You are totally at the mercy of nature in this country, mate. It's just a fact of life.
Walter Savage Landor|Religion is doing; a man does not merely think his religion or feel it, he lives his religion as much as he is able, otherwise it is not religion but fantasy or philosophy.
Ruth Minshull, Miracles for Breakfast: A Startling New Approach to Raising Children|If your child is constantly interrupting or doing other things to get your attention, he is not getting enough communication of the right kind. Just the fact that you are in the house with him all day does not mean that you are necessarily devoting any time to communication of his choice.
Erasmus Darwin, A Plan for the Conduct of Female Education, in Boarding Schools|America has learned what our repressive and terrorist adversaries do not understand: that liberty without law is anarchy, liberty to defy law is rebellion, but liberty limited by law is the cornerstone of civilization.
Dennis Prager, Still the Best Hope: Why the World Needs American Values to Triumph|Private-sector preparedness is not a luxury; it is a cost of doing business in the post-9/11 world. It is ignored at a tremendous potential cost in lives, money and national security.
Abigail Roux, Armed & Dangerous|I fell in love with a sniper - a man whose basic training instills psychopathic tendencies. I loved a professional dehumanizer. I loved a man who lived in a world where empathy was suicide. I loved a man who had to be ready to put a bullet through a toddler’s skull if necessary. I loved a man highly skilled in burying his emotions, resurrecting them if and when he chose. I loved a man who saw me as his enemy. I loved a man I was disposable to.
Natalie Angier, Woman: An Intimate Geography|The clitoris not only applauds when a women flaunts her mastery; it will give a standing ovation. In the multiple orgasm, we see the finest evidence that our lady Klitoris helps those who help themselves. It may take many minutes to reach the first summit, but once there the lusty mountaineer finds wings awaiting her. She does noy need to scramble back to the ground before scaling the next peak, but can glide like a raptor on currents of joy.
Ransom Riggs, Miss Peregrine’s Home for Peculiar Children|You Sure this is it?" I said. "It looks empty.""Empty? No way, there's loads of shit in there," worm replied
L.M. Fields|Everyone has their wings, it just so happens that mine are black.
Caroline Stevermer, A College of Magics|Faris turned on him. "Why choose to wear black today, of all days? I know why I'm in black. Why are you? Mourning?He looked startled. "One does not wear mourning for a servant."You still don't understand, do you? He was not my servant."He regarded her anger, aghast. "What then? What else could he be?Her empty hands shook as she held them out to him. Her voice shook as she replied, "Glove to my hand." Slowly she closed her fists. "Everything.
Abraham Hicks|There is nothing for you to go back and live over, or fix, or feel regret about now. every part of your life has unfolded just right. And so -now- knowing all that you know from where you now stand, now what do you want? The answers are now coming forth to you. Go forth in joy, and get on with it.
Michael Brent Jones, Dinner Party|We owe all to Jesus crucified. What is your life, my brethren, but the cross? Whence comes the bread of your soul but from the cross? What is your joy but the cross? What is your delight, what is your heaven, but the Blessed One, once crucified for you, who ever liveth to make intercession for you? Cling to the cross, then, put both arms around it! Hold to the Crucified, and never let Him go. Come afresh to the cross at this moment, and rest there now and for ever! Then, with the power of God resting upon you, go forth and preach the cross! Tell out the story of the bleeding Lamb. Repeat the wondrous tale, and nothing else. Never mind how you do it, only proclaim that Jesus died for sinner.The cross held up by a babe’s hands is just as powerful as if a giant held it up. The power lies in the word itself, or rather in the Holy Spirit who works by it and with it. O glorious Christ, when I have had a vision of Thy cross, I have seen it at first like a common gibbet, and Thou wast hanging on it like a felon; but, as I have looked, I have seen it begin to rise, and tower aloft till it has reached the highest heaven, and by its mighty power has lifted up myriads to the throne of God. I have seen its arms extend and expand until they have embraced all the earth. I have seen the foot of it go down deep as our helpless miseries are; and what a vision I have had of Thy magnificence, O Thou crucified One! Brethren, believe in the power of the cross for the conversion of those around you. Do not say of any man that he cannot be saved. The blood of Jesus is omnipotent. Do not say of any district that it is too sunken, or of any class of men that they are too far gone: the word of the cross reclaims the lost. Believe it to be the power of God, and you shall find it so.Believe in Christ crucified, and preach boldly in His name, and you shall see great and gladsome things. Do not doubt the ultimate triumph of Christianity. Do not let a mistrust flit across your soul. The cross must conquer; it must blossom with a crown, a crown commensurate with the person of the Crucified, and the bitterness of His agony. His reward shall parallel His sorrows. Trust in God, and lift your banner high, and now with psalms and songs advance to battle, for the Lord of hosts is with us, the Son of the Highest leads our van. Onward, with blast of silver trumpet and shout of those that seize the spoil. Let no man’s heart fail him! Christ hath died! Atonement is complete! God is satisfied! Peace is proclaimed! Heaven glitters with proofs of mercy already bestowed upon ten thousand times ten thousand! Hell is trembling, heaven adoring, earth waiting. Advance, ye saints, to certain victory! You shall overcome through the blood of the Lamb.
