Sam Gayton|Every time you say it is impossible, you shoot yourself in the foot
Michelle Horst, Visions and Shadows|Time…Once it’s gone, it belongs to the past.We do not hold on to the now, andWe do not treasure the future…We keep receiving this present, but we never open and cherish it until it is too late.Until it comes no more.
Andrew Ashling, The Invisible Chains - Part 1: Bonds of Hate|Deal with all this, live with myself, you mean? I honestly don't know. I stand often enough at the abyss of my soul, asking that same question, looking down into the dark crevices where the black monsters dwell on the bottom. They gaze up at me, and I look them in the eyes. “This also you are,” they say, and I almost fall into the void.”“And then?”Anaxantis shrugged.“And then? I turn around and go do what needs to be done. What else is there?
James C. Dobson, Life on the Edge: A Young Adult's Guide to a Meaningful Future|Indeed, the U.S. Centers for Disease Control and Prevention calculated that 65 million people in the United States now have a sexually transmitted virus, and they will suffer from it for the rest of their lives.
Friedrich Nietzsche, The Gay Science|Gratitude pours forth continually, as if the unexpected had just happened—the gratitude of a convalescent—for convalescence was unexpected…. The rejoicing of strength that is returning, of a reawakened faith in a tomorrow and the day after tomorrow, of a sudden sense and anticipation of a future, of impending adventures, of seas that are open again.
Donna Grant, Passion Ignites|Lexi looked him up and down and laughed. "I'll fight every one of you. I'll make it my goal to slice off every Dark Fae dick. I'll make sure that you can't harm another human again
Zuky rose Leigh|And when I breathed, my breath was lightning.
A. Kevin|When you say a man cry in front of another, then you should know that whatever has caused him that much sadness must be a tough one.
William Elwood Byerly|Genius too does nothing but learn first how to lay bricks then how to build, and continually seek for material and continually form itself around it.Every activity of man is amazingly complicated, not only that of the genius: but none is a ‘miracle.
Daniel J. Hill|History was once the future, the future will create history.
Chris     Martin|The snow was endless, a heavy blanket on the outdoors; it had a way about it. A beauty. But I knew that, like many things, beauty could be deceiving.
C. JoyBell C.|There are two kinds of friendship: the beneficial friendship and the erroneous friendship. The erroneous friendship balances on the principle of "the closer we are, the more okay it is for me to say anything I want to you and for me to treat you any way that I want to, and for me to disrespect you and take advantage of you" while a true friendship is rooted in this principle: "the closer we are, the more respect I have for you, the better I will treat you, the higher I will regard you, the more good things I will wish for you." You will know someone is a true friend by basis of observing their actions towards you as the friendship grows deeper. A true friend will continue to hold you in higher and higher regard while the error of a friend will see your goodwill and newfound fondness as basis to do and say whatever he/she wants, that is disrespectful and non-beneficial to you.
Sigizmund Krzhizhanovsky, Autobiography of a Corpse|We stare vacantly into our own future, frightened of all that time confiscates from us. We lament the theft of our beauty, youth, and loved-ones. And yet we somehow overlook the many ways in which we deprive ourselves: through anxiety and worry, we rob our hearts of peace and tranquility, as we sever the thin threads which tether us to the source of our creation.
Douglas Coupland, Hey Nostradamus!|And in his heart, I think, he's now learned what I came to believe, which is, as I've said all along, that the sun may burn brightly, and the faces of children may be plump and achingly sweet, but in the air we breathe, in the water we drink and in the food we share, there will always be darkness in this world.
