Timothy Egan|Like all great readers, he could create for himself a "wall of stillness".
David Byrne, How Music Works|The mixtapes we made for ourselves were musical mirrors. The sadness, anger, or frustration you might be feeling at a given time could be encapsulated in the song selection. You made mixtapes that corresponded to emotional states, and they'd be avaliable to pop into the deck when each feeling needed reinforcing or soothing. The mixtape was your friend, your psychiatrist, and your solace.
John le Carré, Smiley's People|Metaphor, everything is sort of Metaphor of something else.
Katie Cotugno, How to Love|Do you miss her?I blinked. Did I what? This was my best friend since preschool we were talking 	about, 	the girl whose snack and math homework I’d shared since before I had 	memorized my 	own phone number, who’d buried her cold, annoying little feet 	underneath me 	during 	a thousand different movie nights and showed 	me how to use 	a tampon. She’d grown 	up in my kitchen, she was my shadow-	self—or I was hers— and Sawyer 	wanted 	to know if I missed her? What the hell kind of question was that?
Taylor Caldwell, Dear and Glorious Physician|If a nation has not God that nation must fall, but if a nation has God then all the powers of evil, and all the armies, cannot shake its foundations; no, not even if the whole world is arrayed against it.
Brian Celio|Sevro." I lean forward. "Your eyes..."He leans in close. "Do you like 'em?""Bloodydamn. Did you get Carved?""By the best in the business. Do you like 'em?""They're bloodydamn marvelous. Fit you like a glove."He punches his hands together. "Glad you said that. Cuz they're yours."I blanch. "What?""They're yours.""My what?""Your eyes!""My eyes...""Do you want the eyes back?" Sevro asks, suddenly worried. "I can give them back.""No!" I say. "It's just I forgot how crazy you are.""Oh." He laughs and slaps my shoulder. "Good. I thought it might be something serious. So I'm prime keeping them?""Finders keepers," I say with a shrug.
Jeaniene Frost, One Foot in the Grave|Juan gave Bones the most admiring look he’d bestowed on him yet. “You talked her into going without panties all these years? Madre de Dios, now that’s impressive. I could learn a great deal from you, amigo.
Robyn Schneider, Extraordinary Means|That's all you can do in this world, no matter how strong the current beats against you, or how heavy your burden, or how tragic your love story. You keep going.
Sebastian Faulks, Engleby|Until we can navigate in time, I'm not sure that we can prove that what happened is real.
Jeanette Winterson|I spin worlds where we could be together. I dream you. For me, imagination and desire are very close.
Arkady Strugatsky, Hard to Be a God|And no matter how much the gray people in power despise knowledge, they can’t do anything about historical objectivity; they can slow it down, but they can’t stop it. Despising and fearing knowledge, they will nonetheless inevitably decide to promote it in order to survive. Sooner or later they will be forced to allow universities and scientific societies, to create research centers, observatories, and laboratories, and thus to create a cadre of people of thought and knowledge: people who are completely beyond their control, people with a completely different psychology and with completely different needs. And these people cannot exist and certainly cannot function in the former atmosphere of low self-interest, banal preoccupations, dull self-satisfaction, and purely carnal needs. They need a new atmosphere— an atmosphere of comprehensive and inclusive learning, permeated with creative tension; they need writers, artists, composers— and the gray people in power are forced to make this concession too. The obstinate ones will be swept aside by their more cunning opponents in the struggle for power, but those who make this concession are, inevitably and paradoxically, digging their own graves against their will. For fatal to the ignorant egoists and fanatics is the growth of a full range of culture in the people— from research in the natural sciences to the ability to marvel at great music. And then comes the associated process of the broad intellectualization of society: an era in which grayness fights its last battles with a brutality that takes humanity back to the middle ages, loses these battles, and forever disappears as an actual force.
