Tom Hanks|If you're funny, if there's something that makes you laugh, then every day's going to be okay.
Mary Ruefle|It looks like it’s wasting time, but literature is actually the ultimate time-saver – because it gives us access to a range of emotions and events that it would take you years, decades, millennia to try to experience directly. Literature is the greatest reality simulator — a machine that puts you through infinitely more situations than you can ever directly witness.
Arti Honrao|I could see that others had confused her disorganized passion for volatility. In reality, she was a scrumptious mess; deliciously majestic. She was on her way to great things in this life.
Kilroy J. Oldster, Dead Toad Scrolls|Professing not to care is a primordial defense mechanism. Whenever a person finds oneself mired in failure and despondency, rebelling is a viable option to preserve false personal pride.
Brian Kernighan|A wide variety of devices beyond personal computers are arriving, many of which will be used to browse the Web... The Flash engineering team has taken this on with a major overhaul of the mainstream Flash Player for a variety of devices.
Kelly Link, Pretty Monsters: Stories|Jeremy and Karl and Elizabeth have known each other since the first day of kindergarten. Amy and Talis are a year younger...Now the five are inseparable; invincible. They imagine that life will always be like this--like a television show in eternal syndication--that they will always have each other. They use the same vocabulary. They borrow each other's books and music. They share lunches, and they never say anything when Jeremy comes over and takes a shower. They all know Jeremy's father is eccentric. He's supposed to be eccentric. He's a novelist.
David Mathis, Habits of Grace: Enjoying Jesus through the Spiritual Disciplines|Without grace, there is no gratitude.
Sarah Ockler, Bittersweet|See, some people politely encourage their tone-deaf friends to sing. Some people even convince them to go on live television and audition for national competitions. But me? I am not that friend.
Florence Welch|Who cares about the men who steered your breakfast cereal through winter storms? How ironic that the more ships have grown in size and consequence, the less space they take up in our imagination.
Jenny B. Jones, Save the Date|She just asked me to pick her up some tampons and a Yoo-Hoo." ~Alex Sinclair
Colleen Boyd, Swamp Angel|Perhaps, in the end, only those who really made us laugh can really make us cry.
Elizabeth Gilbert, Eat, Pray, Love|You have been to hell, Ketut?"He smiled. Of course he's been there.What's it like in hell?" Same like in heaven," he said.He saw my confusion and tried to explain. "Universe is a circle, Liss."He said. "To up, to down -- all same, at end."I remembered an old Christian mystic notion: As above, so below. I asked. "Then how can you tell the difference between heaven and hell?"Because of how you go. Heaven, you go up, through seven happy places. Hell, you go down, through seven sad places. This is why it better for you to go up, Liss." He laughed.Same-same," he said. "Same in end, so better to be happy in journey."I said, "So, if heaven is love, then hell is.. " Love, too," he said. Ketut laughed again, "Always so difficult for young people to understand this!
Sean Quinn|Europe is difficult to coordinate, and our main deficit may not even lie in this area of finance and economics, but in foreign and security policy. We have a leadership problem because we are still 27 different members who have still not decided on how to work with each other based on what we used to call a European constitution.
Ralph Waldo Emerson, The Essential Writings of Ralph Waldo Emerson|The physiognomy of a deserted highway expresses solitude to a degree that is not reached by mere dales or downs, and bespeaks a tomb-like stillness more emphatic than that of glades and pools. The contrast of what is with what might be, probably accounts for this.
Eoin Colfer, The Time Paradox|Humm humm haaa. Rahmumm humm haaaa," intoned Opal, finishing her chant. "Peace be inside me, tolerance all around me, forgiveness in my path. Now, Mervall, show me where the filthy human is so that I may feed him his organs.
Darnell Lamont Walker|I could tell from Anna's face that she had already told him about dancing in Saint Petersburg and that the memory weighed on her heavily. What monstrous things, our pasts, especially when they have been lovely. She had told a secret and now had the sadness of wondering how much deeper she might dig in order to keep the first secret fed.
