Anthony Burgess, Little Wilson and Big God: The First Part of the Confession|Nothing goes on forever. If it did, there wouldn't be anything else, would there?
Craig Groeschel, Altar Ego: Becoming Who God Says You Are|I mightn't be a shaman in the indigenous sense, but as a world-bridger between Western culture and the indigenous world, I knew I was playing a shamanistic role. Language was my medicine and with it I would do my best to record my awakening and help heal with my words... The journey isn't over yet.
Starla Kaye, Cowboys in Charge|When I want to.” He ran his finger over her lips. “You don’t get a vote, honey.
Guy de Maupassant, Selected Short Stories|There are some delightful places in this world which have a sensual charm for the eyes. One loves them with a physical love. We people who are attracted by the countryside cherish fond memories of certain springs, certain woods, certain ponds, certain hills, which have become familiar sights and can touch our hearts like happy events.Sometimes indeed the memory goes back towards a forest glade, or a spot on a river bank or an orchard in blossom, glimpsed only once on a happy day, but preserved in our heart.
Suzanne Collins, Gregor and the Code of Claw|All those calm, adult discussions. When all she really wanted to do was scream for her momma, her sweet momma, the one person in the world who loved her better than anyone ever would or ever could.
Benjamin Meadows|Knowing beauty is not what can be described but felt, upon looking at something beautiful.
Assegid Habtewold, The 9 Cardinal Building Blocks: For Continued Success in Leadership|Antioch, farewell! for wisdom sees, those men blush not in actions blacker than the night, will 'schew no course to keep them from the light. One sin, I know, another doth provoke; Murder's as near to lust as flame to smoke. Poison and treason are the hands of sin; Ay, and the targets to put off the shame. Then, lest my life be cropped to keep you clear, By flight I'll shun the danger which I fear.
Emmanuelle de Maupassant, The Gentlemen's Club|Among my greatest loves is the act of being pinned and invaded – not by one, or two or three, but by many, one after the other. What it is to lose yourself among many, so that your identity exists only as ‘woman’: a goddess of flesh and desire. No names, no promises, no social niceties, no conversational conventions: only lust and fulfillment.”Mademoiselle Noire - in The Gentlemen's Club
Evelyn Waugh, Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder|[re: I Corinthians 15:34,58] "The present life of the church, in other words, is not about "soul-making," the attempt to produce or train disembodied beings for a future disembodied life. It is about working with fully human beings who will be reembodied at the last, after the model of the Messiah.
Amit Kalantri|Money is not as good as power, but power is as good as money.
Jonathan Price, Put That in Writing|Start writing by thinking, not wrestling with words.
John Medina, Brain Rules: 12 Principles for Surviving and Thriving at Work, Home, and School|The trick for business professionals, and for educators, is to present bodies of information so compelling that the audience does this (encoding) on their own, spontaneously engaging in deep and elaborate encoding.
Nora Roberts|Parker: She believed, absolutely, that each person, each heart, had a counterpart—had a mate. A rightness. She’d always believed it, and understood that unshakable belief was a reason she was good at what she did.
Carla Reighard, Travelers|I think you should live every moment like tomorrow is your last day, but you should also plan for the future like you will be living another hundred years.
Jincy Willett, Amy Falls Down|Irony is a gift of the gods, the most subtle of all the modes of speech. It is an armour and a weapon; it is a philosophy and a perpetual entertainment; it is food for the hungry of wit and drink to those thirsting for laughter...
