Emily Roberson|Unfeeling thing that I was, the sensibilities of the maternal heart were Greek and Hebrew to me.
Oliver Wendell Holmes, Sr.|Love who you are, embrace who you are. Love yourself. When you love yourself, people can kind of pick up on that: they can see confidence, they can see self-esteem, and naturally, people gravitate towards you.
Jodi Picoult, Sing You Home|She didn't like it when religious folks looked down on her for being an atheist; but to be honest, I didn't see how this was any different from the way she looked down on people for being Christians.
Roshan Sharma|The greatest service, you can do, to the existence, is serving yourself. If you serve yourself and take care of, yourself, anything that comes out of you, will add meaning and beauty to life.
Virginia Woolf, Virginia Woolf|I ransack public libraries, and find them full of sunk treasure.
Vaibhav Garg|Life is not a race.....not a struggle,& bla bla ....We make it a race , struggle.It's we to decide how should it be. Actually Life is Present & the choices we choose in past.
Gloria Steinem, My Life on the Road|I myself cried when I got angry, then became unable to explain why I was angry in the first place. Later I would discover this was endemic among female human beings. Anger is supposed to be "unfeminine" so we suppress it -until it overflows. I could see that not speaking up made my mother feel worse. This was my first hint of the truism that depression is anger turned inward; thus women are twice as likely to be depressed. My mother paid a high price for caring so much, yet being able to do so little about it. In this way, she led me toward am activist place where she herself could never go.
Sharad Vivek Sagar|Have mountain moving faith in yourself & the universe!Don't talk about the problem, TALK TO THE PROBLEM! Command it to go away & IT WILL GO!When you believe from your heart & soul you can achieve any goal!
Auliq Ice|Though you should still let her do what she wants, don't let her take total control of you or you won't be making the most of your experience.
Alice Bag|For most of the process, nothing but faith, fueled by your own stubbornness, will be pulling you along. The work that you've done on the book so far won't be much comfort, because so much of it will be insufferable crap, until the very last moment, when you figure out how to fix it and everything comes together.
Steven Cuoco|Once you eliminate the persona that was created to survive. The real you will have permission to come forward, and enjoy the life that is meant to thrive.
Eleanor   Clark, The Oysters of Locmariaquer|All men are hungry. They always have been. They must eat, and when they deny themselves the pleasures of carrying out that need, they are cutting off part of their possible fullness, their natural realization of life, whether they are poor or rich.
Roger Rosenblatt|Truth, they say, is but too often in difficulties, but is never finally suppressed.
Jay E. Adams, How to Overcome Evil|Love is not first a feeling. Though the feelings come later and grow thick in the basic loam of love, they don't constitute the sum and substance of love. Love is doing whatever good God says you must do for another, to please God, whether (at first) it pleases you or not. You must do so because He says so; and you don't wait until you feel like doing so. Love begins with obedience toward God in which one gives to another whatever the other needs. Love is not a gooey, sticky sentimental thing; it is hard to love. Often it hurts to love. Love meant going to the cross through the garden of Gethsemane. Christ did not feel like dying for your sins, Christian, but He did so nonetheless. The Scriptures teach that he endured the cross while focusing on the subsequent joy that it would bring.
Ellen Hopkins, Tricks|Home...Home....the word,...has...no...meaning
Lundy Bancroft, Why Does He Do That?: Inside the Minds of Angry and Controlling Men|The central attitudes driving Rambo are:Strength and aggressiveness are good; compassion and conflict resolution are bad.Anything that could be even remotely associated with homosexuality, including walking away from possible violence or showing any fear or grief, has to be avoided at any cost.Femaleness and femininity (which he associates with homosexuality) are inferior. Women are here to serve men and be protected by them.Men should never hit women, because it is unmanly to do so. However, exceptions to this rule can be made for my own partner if her behavior is bad enough. Men need to keep their women in line.You are a thing that belongs to me, akin to a trophy.
Kyuugou, ACID TOWN|The only honorable, desirable kind of fear that shouldn't be feared is the fear of harm on a loved one. It's the kind of fear that leads to self-sacrifice and the kind of fear where you would truly jump in front of a bus to save another.
Amy J. Murphy, Allies and Enemies: Rogues|In that moment, she hated his quiet patient tone, hated the stench of the incense, and hated the beauteous pity painted on the faces of the women on the walls. Their expressions contained serene understanding; their eyes seemed able to peer into her soul. She found their forgiveness suffocating. And above all, she hated the tiny niggling thing in her that wanted to know more.
