Akash B Chandran|Use time and space; grow slowly into your dreams, infinity will fill you with peace.
Jim Fergus, One Thousand White Women: The Journals of May Dodd|Mothers got a hard road to travel, believe me.
Miguel Reynolds Brandao, The Sustainable Organisation - a paradigm for a fairer society: Think about sustainability in an age of technological progress and rising inequality|Whatever the religion, we are formatted to accept hierarchy without any questions and while most management studies discuss business models, organisation and power structure, they seldom question the different types of hierarchies. One has to wonder if this hierarchy really is an absolute truth…
Van Harden, Life in the Purple Wedge!|The essence of Christianity is centered upon the Lord Jesus Christ. The sum and substance of being a Christian is trusting Christ with the entirety of one’s being. The height of the Christian life is adoring Christ, the depth of it loving Him, the breadth of it obeying Him, and the length of it following Him. Everything in the Christian life revolves around Jesus Christ. Simply put, Christianity is Christ.
Harry Connick, Jr.|As Michael Scheuer, who ran the C.I.A.'s bin Laden unit until 1999, has pointed out, if bin Laden believed in Christmas, the Iraq war would be his perfect present from Santa Claus. The 9/11 attacks and the subsequent war in Afghanistan severely damaged bin Laden's organization.
Johann Wolfgang von Goethe, Selected Poetry|Anything in the world can be endured, except a series of wonderful days.
Billy Graham, Billy Graham in Quotes|People judge us not by what we think or believe, but by what we do—and when our lives don’t measure up, we lose their respect and they conclude our faith isn’t real.
Ray Bradbury|It's important to read a book, but also to hold the book, to smell the book... it's perfume, it's incense, it's the dust of Egypt...
Sunday Adelaja|The best and only way to minister supernaturally is by being yoked to Jesus, just making yourself into His servant, walking in His ways and imitating Him. Allow Him to change you!
Stephen Baker, Final Jeopardy: Man vs. Machine and the Quest to Know Everything|Watson represents merely a step in the development of smart machines. Its answering prowess, so formidable on a winter afternoon in 2011, will no doubt seem quaint in a surprisingly short time.
J.A. Redmerski, The Edge of Always|Dear Camryn, I know you're scared. I'd be lying if I said I wasn't a little scared, too, but I have to believe that this time around everything will be fine. And it will be. We've been through so much together. More than most people in such a short time. But no matter what, the one thing that has never changed is that we're still together. Death couldn't take me away from you. Weakness couldn't make me look at you in a bad light. Drugs and all the shit that comes with them couldn't take you away from me. I think it's more safe to say that we're indestructable. Maybe all of this has been a test. Yeah, I think about that a lot and I've convinced myself of it. A lot of people take Fate for granted. Some have everything they've ever wanted right at their fingertips, but they abuse it. Others walk right past their only opportunity because they never open their eyes long enough to see that it's there. But you and I, even before we met, took all the risks, made our own decisions without listening to everybody around us telling us, in so many ways, that what we're doing is wrong. Hell no, we did it our way, no matter how reckless, or crazy or unconventional. It's like the more we pushed and the more we fought, the harder the obstacles. Because we had to prove we were the real deal. And I know we've done just that.  Camryn, I want you to read this letter to yourself once a week. It doesn't matter what day or what time, just read it. Every time you open it, I want you to see that another week has passed and you're still pregnant. That I'm still in good health. That we're still together. I want you to think about the three of us, you, me and our son or daughter, traveling Europe and Soth America. Because we're going to do it. I promise you that.  You're everything to me, and I want you to stay strong and not let your fear of the past taint the path to our future. Everything will work out this time, Camryn, everything will, I swear to you. Just trust me. Until next week... Love, Andrew
