Joel Rosenberg|A man can be short and dumpy and getting bald but if he has fire, women will like him.
Dee Williams|It is not what you say, but how you say, that's important. 99% Fat Free product seems more healthy than a product with 1% Fat.
Yann Martel, Beatrice and Virgil|Just as music is noise that makes sense, a painting is color that makes sense, so a story is life that makes sense.
Jane Austen, Sense and Sensibility|Enough regret can crush any man, living or dead.
Gregory Maguire, Wicked: The Life and Times of the Wicked Witch of the West|But she woke up just then, and in the moonlight covered herself with a blanket. She smiled at him drowsily and called him "Yero, my hero," and that melted his heart.
Geetanjali Mukherjee, Anyone Can Get An A+: How To Beat Procrastination, Reduce Stress and Improve Your Grades|Success is shown to us as a straight line, heading in one direction, up. There are no detours, no turn-arounds, no missteps allowed. ... When you aren’t allowed to fail, either due to the expectations of others or yourself, although it may seem like you are being pragmatic and focusing on how to succeed, you are actually making it that much harder for yourself.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Wherever I travel to, I encounter great souls.
Daft Punk|Work It Harder Make It BetterDo It Faster, Makes Us strongerMore Than Ever Hour AfterOur Work Is Never Over-Harder, Better, Faster, Stronger, lyrics and music by Daft Punk
Alfred Nobel|In fact, for all kinds of offenses - and, for no offenses - from murders to misdemeanors, men and women are put to death without judge or jury; so that, although the political excuse was no longer necessary, the wholesale murder of human beings went on just the same.
Greg Pruett, Extreme Prayer: The Impossible Prayers God Promises to Answer|I learned not to pray about my strategies, but to make prayer the strategy.
Jacqueline Francis - The Journal|He cupped her chin to still the movement. "Please, Ricky." he clutched her hand tighter to his chest. "Please... I'm not going anywhere." He leaned closer until his lips were mere millimetres from hers. "I promise.
Pope Benedict XVI|Marriage has made me a lot happier and I'm deeply in love with my wife, and I thank God for her every day.
Lydor Brunice|The value of someone is not determined by titles, positions and sects, but by the impact and the major contributions he/she makes in the society by digging a hole in the universe to build a foundation for the next generation that is coming.
Rudy Francisco|Instead of asking why they left,now I ask,what beauty will I createin the space the no longeroccupy?
Sadhguru, Of Mystics & Mistakes|Without knowing the essential nature of this (referring to the self), we are trying to make a life outside. That is the biggest mistake humanity has made. The first and foremost thing you must know is this (referring to the selfx). Then you can handle the external like a play, without any effort.
S.R. Crawford, From My Suffering: 25 Ways to Break the Chains of Anxiety, Depression & Stress|For me to simply tell you to find your life’s purpose, would only worsen your anxiety, not make it better. But that’s not what I want you to do. I simply want you to realise that there is something to be found. That your calling is still out there, and that’s why you might be unhappy.
Matt Ridley, Genome: the Autobiography of a Species in 23 Chapters|Everyone knows that a quick-fix usually doesn’t work, yet we have all been sold on the idea time and time again. Most of us would like to believe in miracle drugs and fast relief. The truth is that most of the quick fixes for stress focus on temporary relief from tension or pain. Temporary, as in, the problem will return with a vengeance. This doesn’t mean we should never take drugs to alleviate tension or pain, it just means that taking drugs is not a viable permanent solution; it’s just a temporary relief.
