Guy de Maupassant, Original Maupassant Short Stories|A gardin is where you can find a whole spectrum of life, birth and death
Vera Brittain, Testament of Youth|Tired as I was of conflict, I felt that I must not shrink from the fight, nor abandon in cowardice the attempt to prove, as no theories could ever satisfactorily prove without examples, that marriage and motherhood need never tame the mind, nor swamp and undermine ability and training, nor trammel and domesticise political perception and social judgement. Today, as never before, it was urgent for individual women to show that life was enriched, mentally and spiritually as well as physically and socially, by marriage and children; that these experiences rendered the woman who accepted them the more and not the less able to take the world's pulse, to estimate its tendencies, to play some definite, hard-headed, hard-working part in furthering the constructive ends of a political civilisation
Jenni Schaefer, Life Without Ed: How One Woman Declared Independence from Her Eating Disorder and How You Can Too|So at family gatherings… I try to stick to the acceptable script. Indeed, I discover that the less I say, the happier everyone seems to be with me. I sometimes wonder if I wouldn’t have been better off as a paraplegic or afflicted by some tragic form of cancer. The invisibility and periodicity of my disorder, along with how often I border on normalcy, allows them to evade my need for their understanding. And because our most enduring family heirloom is avoidance and denial of pain and suffering, I don’t need much prompting to shut myself down in their presence.
Praveen Chenna|Try not to say "I have" unless it’s not bought by the money. If materialism is a blessing would have not been sold out in streets
Michael Thomas Ford, Suicide Notes|One of my father's RULES FOR LIFE was to marry a woman who was smarter than you. "I did this," he would say to me, "and you should do it, too. I say, why do all the thinking?
Samantha Chase, One More Kiss|It's been six months since I took a bite of that shiny, forbidden apple, and I've never been the same.
Jodi Picoult, Perfect Match|You could run from someone you feared, you could try to fight someone you hated. All my reactions were geared toward those kinds of killers – the monsters, the enemies. When you loved the one who was killing you, it left you no options. How could you run, how could you fight, when doing so would hurt that beloved one? If your life was all you had to give your beloved, how could you not give it? If it was someone you truly loved?
Chris Kraus, I Love Dick|Dear Dick, I'm not sure I still want to fuck you. At least, not in the same way. Sylvère keeps talking about us disturbing your "fragility", but I'm not sure that I agree. There's nothing so remarkable in one more woman adoring you. It's a "problem" you're confronting all the time. I'm just a particularly annoying one, one who refuses to behave... And yet I feel this tenderness towards you, after all we've been through.
Katherine McIntyre, Snatched|My dad had always said to not trust something unless it’s taken a tumble in the dirt. He’d meant it for people, and for things. Shiny and new didn’t exist for humankind any more.
Hunter Shea, Island of the Forbidden|Galton was a world renowned anthropologist back in the nineteenth century, though he was a big overshadowed by his cousin, Charles Darwin.
Sharon Salzberg, Real Love: The Art of Mindful Connection|It's tough to have an authentic relationship with awe in the age of awesome, a word that has become so overused as to be drained of its meaning.
Georgette Heyer, Devil's Cub|Those fine eyes of hers had a disconcertingly direct gaze, and very often twinkled in a manner disturbing to male egotism. She had common-sense too, and what man wanted the plainly matter-of-fact, when he could enjoy instead Sophia's delicious folly?
Mehmet Murat ildan|The city was asleep, and the bookshop felt like a boat adrift in a sea of silence and shadows.
Craig  Stone, The Squirrel that Dreamt of Madness|Sleep doesn't come easy when a broken twig conjures images of a hulking mental patient snapping the arms off children, over by the bin.
Rebecca McNutt|Stay curious, stay weird, stay kind and don't let anyone ever tell you you aren't smart or brave or worthy enough.
Joe Swanberg|I like looking at the characters. Seeing them always brings up some voice or attitude. I am much more visual, and that works so much better than having someone tell me what the character is all about.
