Marcia Lynn McClure, The Pirate Ruse|We should learn to smile as we fall, So much so as when we have it all.
Terry Pratchett, Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch|Richard Dawkins regards faith as an evil to be eliminated; he takes all religious faith to be blind faith. (Dawkins says) ‘Scientific belief is based on publicly checkable evidence, religious faith not only lacks evidence, its independence from evidence is its joy, shouted from the rooftops.’ However, taking Dawkins own advice we ask: where is the evidence that religious faith is not based on evidence? Mainstream Christianity will insist that faith and evidence are inseparable. Indeed, faith is a response to evidence, not a rejoicing in the absence of evidence. The apostle Paul says what many pioneers of modern science believed, that nature itself is part of the evidence for the existence of God ,‘ Since the creation of the world, God’s invisible qualities- his eternal power and divine nature – have been clearly seen, being understood from what has been made. So that men are without an excuse.’ Dawkins’ definition of faith turns out to be the direct opposite of the biblical one. Curious that he does not seem to be aware of the discrepancy.
Emilio Segrè, Enrico Fermi, Physicist|The most striking impression was that of an overwhelming bright light. I had seen under similar conditions the explosion of a large amount—100 tons—of normal explosives in the April test, and I was flabbergasted by the new spectacle. We saw the whole sky flash with unbelievable brightness in spite of the very dark glasses we wore. Our eyes were accommodated to darkness, and thus even if the sudden light had been only normal daylight it would have appeared to us much brighter than usual, but we know from measurements that the flash of the bomb was many times brighter than the sun. In a fraction of a second, at our distance, one received enough light to produce a sunburn. I was near Fermi at the time of the explosion, but I do not remember what we said, if anything. I believe that for a moment I thought the explosion might set fire to the atmosphere and thus finish the earth, even though I knew that this was not possible.
Christine Brodien-Jones, The Glass Puzzle|Food is what I love, and how I communicate love, and how I calm myself.
Christopher Paolini, Eragon|Books are my friends, my companions. They make me laugh and cry and find meaning in life.
Tucker Elliot, The Rainy Season|Sequel to Albert Einstein's quote "education is what remains after you have forgotten what you learned in school," beauty is what remains inside a body after it has wrinkled.
David Harry, The Padre Puzzle|What’s the hurry? From my experience, dead bodies don’t get any deader.
Lailah Gifty Akita|Never give up, the hope of living.
Katherine Mansfield, A Dill Pickle|Sorrel always thought herself happy in the little village by the sea. She was content among her flowers and specimen trees, the extraordinary roses and lilacs, sweet peas and hydrangeas that bloomed- somehow simultaneously and for months beyond reason- in the Nursery. She found great pleasure in picking the pears, cherries, and apples for Nettie's tarts, the tender young peas and beans, the lettuce so green it glowed, and the nasturtiums and violas that her sister used in her salads. She was grateful for Patience's remedies on the rare occasion when she felt ill. But Sorrel's hands were happiest deep in the soil and curled around the stems of the flowers she grew and arranged.
Stephanie Kuehn, The Smaller Evil|That felt meaningful somehow, like the words on the pages ached for him to know their sorrow.
Pat Conroy, The Prince of Tides|But even her demons she invested with inordinate beauty, consecrated them with the dignity of her attention.
Elizabeth Heiter, Disarming Detective|He glanced again at her tightly drawn face as he parked and understood, with sudden, startling clarity, that if they failed to find Tanya alive, then Bella, too, would be lost.
Laura Anderson Kurk, Glass Girl|When Dad was in the middle of a description of the hotel’s laundry facility, I interrupted. “Why haven’t you told me today, like you do every day, that Mom’s going to be better soon?”He looked up then. His gaze locked with mine and held a promise that no matter what he said or didn’t say, he and I would ride this out together. “I haven’t told you that today, Meg, because I don’t know.
Virginia Postrel|I'd stand on the side of the road when I was just a little girl singing on trash cans. People would roll down their windows saying, 'Isn't she cute'. I had a vivid imagination. I always pretended it was some big stage.
Michael Perez|Poetry rhymes, a song our souls need to nourish upon. Poetry is a drum, a sound our bodies wish to have. Poetry is organized, a reading our eyes wish to view. Poetry is refined, a structure our moral selves seek. Poetry is civil, instigating the world to remain sane. Poetry is not ordinary, but it needs the ordinary eyes to continue to be the interesting art form of expression. Poetry is like a child communicating, who later grows to be an adult communicating in prose.
