Michael Faudet, Dirty Pretty Things|Unbutton, unzip, unclip, untie, undo, undress.”“Understood,” she replied.
James     Baldwin, The Fire Next Time|Life is tragic simply because the earth turns and the sun inexorably rises and sets, and one day, for each of us, the sun will go down for the last, last time. Perhaps the whole root of our trouble, the human trouble, is that we will sacrifice all the beauty of our lives, will imprison ourselves in totems, taboos, crosses, blood sacrifices, steeples, mosques, races, armies, flags, nations, in order to deny the fact of death, the only fact we have. It seems to me that one ought to rejoice in the fact of death--ought to decide, indeed, to earn one's death by confronting with passion the conundrum of life. One is responsible for life: It is the small beacon in that terrifying darkness from which we come and to which we shall return.
Cassandra Clare|But you hate poetry!Yes, but you make me want to write it.
Essex Hemphill|Freedman Town serves a good purpose - not for the people who live there, Lord knows; people stuck there by poverty, by prejudice, by laws that keep them from moving or working. Freedman Town's purpose is for the rest of the world. The world that sits, like Martha, with dark glasses on, staring from a distance, scared but safe. Create a pen like that, give people no choice but to live like animals, and then people get to point at them and say 'Will you look at those animals? That's what kind of people those people are'.
Katie McGarry, Red at Night|Thank you Jonah."  He lowers his head at the break in my voice. I ignore the moisture in his eyes and pretend that mine don't sting.  "For what?" he whispers.  " For showing me that people can change. Even if it is one person out of a million.
Anton Chekhov, The Cherry Orchard|And what does it mean -- dying? Perhaps man has a hundred senses, and only the five we know are lost at death, while the other ninety-five remain alive.
Seneca, The Stoic Philosophy of Seneca: Essays and Letters|For what prevents us from saying that the happy life is to have a mind that is free, lofty, fearless and steadfast - a mind that is placed beyond the reach of fear, beyond the reach of desire, that counts virtue the only good, baseness the only evil, and all else but a worthless mass of things, which come and go without increasing or diminishing the highest good, and neither subtract any part from the happy life nor add any part to it?A man thus grounded must, whether he wills or not, necessarily be attended by constant cheerfulness and a joy that is deep and issues from deep within, since he finds delight in his own resources, and desires no joys greater than his inner joys.
Kristian Goldmund Aumann, Love Poems|The thing about love is one can never define it exactly. And as much of a mystery as that is and as familiar it is when we acknowledge it, words just aren't enough. So we find ourselves scratching the walls while our hair is falling out. Then we can't live without it. We become addicts.
T.J. Klune, Into This River I Drown|Michael doesn't flinch. 'You can't know,' he says quietly, 'how much you truly love something until it's gone.' 'That's not fair,' I say as I tremble. 'No one said it would be. He tests you, Benji, and he tests Calliel for a supremely simple reason. You are tested because if you aren't, how could you know what you believe in?' 
Nicos Hadjicostis|If you think you can stand to know what you’re made of, try kneeling before God.
Hillary DePiano, The Love of Three Oranges: A Play for the Theatre That Takes the Commedia Dell'arte of Carlo Gozzi and Updates It for the New Millennium|The Macedonian Endeavour Channel was screening live coverage of the world series of the Who’s Got the Stupidest Name (WGSN) competition. First prize had already gone to Brian Burdock, a French Algerian with a penchant for Longchamp.
Keith Porteous Wood|The word miracle, as pronounced by Christian churches, gives a false impression; it is a monster. It is not one with the blowing clover and the falling rain.
Mary Buckham, Invisible Magic|Humans did not want to know about non-humans. Funny thing was most non-humans felt the same way, happy to hide their abilities and talents to avoid witch hunts and wholesale slaughter.
Elizabeth Gilbert, Eat, Pray, Love|The Indians around here tell a cautionary fable about a great saint who was always surrounded in his Ashram by loyal devotees. For hours a day, the saint and his followers would meditate on God. The only problem was that the saint had a young cat, an annoying creature, who used to walk through the temple meowing and purring and bothering everyone during meditation. So the saint, in all his practical wisdom, commanded that the cat be tied to a pole outside for a few hours a day, only during meditation, so as to not disturb anyone. This became a habit – tying the cat to the pole and then meditating on God – but as years passed, the habit hardened into religious ritual. Nobody could meditate unless the cat was tied to the pole first. Then one day the cat died. The saint's followers were panic-stricken. It was a major religious crisis – how could they meditate now, without a cat to tie to a pole? How would they reach God? In their minds, the cat had become the means.
