Kim Stanley Robinson, The Years of Rice and Salt|It is a long time ago. So many lives ago--I get them all confused, don’t you?
Megan Whalen Turner, The Thief|. . . I will not be sworn, but love may trans-form me to an oyster, but, I’ll take my oath on it, till hehave made an oyster of me, he shall never make me sucha fool.
Mary Oliver|My morning begins with trying not to get up before the sun rises. But when I do, it's because my head is too full of words, and I just need to get to my desk and start dumping them into a file. I always wake with sentences pouring into my head.
Sue Monk Kidd, The Secret Life of Bees|Look, I know you meant well creating the world and all, but how could you let it get away from you like this? How come you couldn't stick with your original idea of paradise? People's lives were a mess.
David Whyte|My favourite beauty look is definitely '70s beauty - sun kissed skin, wavy hair and defined eyes.
Michael Joseph Kelly|I wasn't a particularly brilliant student, but on the other hand, I was very active in Student Union affairs and in student politics.
Emma Watson|It’s a journey and the sad thing is you only learn from experience, so as much as someone can tell you things, you have to go out there and make your own mistakes in order to learn.
William Shakespeare|Things at the worst will cease, or else climb upwardTo what they were before.
Billy Graham, Billy Graham in Quotes|The very ones whose social pressure cause you to compromise will despise you for it. They probably respect your convictions,and many of them wish they had the moral stamina to stand alone.May the Lord give you added courage to be a witness for Him,even in a hard place.
|This is definitely the wrong time to allow fear and doubts to hold you back. Push yourself far away from your fearful past and into a blissful and prosperous future. God is your guide, protection wisdom, courage and strength. You were born to experience greatness.
Scarlett Dunn|Until we find Enio, I'm closer to you than your own shadow.
Colson Whitehead, The Colossus of New York|You swallow hard when you discover that the old coffee shop is now a chain pharmacy, that the place where you first kissed so-and-so is now a discount electronics retailer, that where you bought this very jacket is now rubble behind a blue plywood fence and a future office building. Damage has been done to your city. You say, ''It happened overnight.'' But of course it didn't. Your pizza parlor, his shoeshine stand, her hat store: when they were here, we neglected them. For all you know, the place closed down moments after the last time you walked out the door. (Ten months ago? Six years? Fifteen? You can't remember, can you?) And there have been five stores in that spot before the travel agency. Five different neighborhoods coming and going between then and now, other people's other cities. Or 15, 25, 100 neighborhoods. Thousands of people pass that storefront every day, each one haunting the streets of his or her own New York, not one of them seeing the same thing.
Kris Noel, Prime|Then August knew. Thomas didn’t dwell on things. Thomas was strong, and he didn’t know what it was to be afraid. He knew he could get what he wanted, never questioning his identity or who he would be the next day.He was everything August wasn’t, and that’s why August hated him.
Sadashivan Nair, Negative-Positive and We|The temptation, lust, addiction, avarice, mistrust, and Infidelity are evil’s main strategic tools to shatter many homes. The love and family founded on fine sheer system where only two souls can fit. Trust is strength of the system nothing can replace. Third soul is only to shake foundation. Building trust is only the foundation of any family.
Luca Cordero di Montezemolo|The alarm rings 4:45, again at 5, but I wake up 4:30 naturally. Shower, shave, orange juice, perk my own coffee, hear the news, and the CBS car arrives 5:30.
Zig Ziglar, Raising Positive Kids in a Negative World|Of course motivation is not permanent. But then, neither is bathing; but it is something you should do on a regular basis.
Archibald Marwizi, Making Success Deliberate|Bathing is not negotiable! So is brushing your teeth and washing your underwear, so that you always have a fresh inviting scent around you. People should want to be around you, not avoid you because of unfriendly odours coming out of your mouth, shoes or armpits. Do the best with what you have; even the old can be made clean and hygienic to improve your image.
Christian Tetzlaff|Most of the time, we try to tell ourselves "I'm confident" or "I'm doing well." But then, in a moment alone at home, you feel how close you are to some kind of abyss.
