Kemi Sogunle|You cannot be a light to others or yourself, if you have dark intentions in your heart.
John A. Heldt, The Mine|[Ella] “Again, I ask, whose side are you on?”[Lola] “The side that has the least Dorito-flavored vomit on the floor after the party.
Sami Abouzid|I Have Confidence in Love, And Most of the Time I doubt it
Ernest Hemingway, The Sun Also Rises|Never fall in love?""Always," said the count. "I am always in love.
Johnny Depp|All the bees knew Sugar; they carried their feelings for her with them in their genes, they could sense her from more than half a mile away and would no sooner find her a threat than fly to the moon. But Elizabeth the First sensed Grady Parkes from half a mile away too, and her resulting hum was not one of blissful content. It was his smell, partly: an aftershave, with base notes of tobacco and cedar and a hint of bitter herbs, and his natural scent, which was too sour for Elizabeth the First's liking. She registered him as something to watch out for and passed this on through the realm.
Steve Maraboli|So the fox killed his brother, the wolf. (Mother Scaer)
J.R.R. Tolkien|Life has no happy endings, actually, no endings at all, just an ongoing series of beginnings. A story—whether it’s happy or sad, whether it makes sense or not, what its meaning is—depends entirely on where you start it and where you end it.
Hazen Pingree|The point is that television does not reveal who the best man is. In fact, television makes impossible the determination of who is better than whom, if we mean by 'better' such things as more capable in negotiation, more imaginative in executive skill, more knowledgeable about international affairs, more understanding of the interrelations of economic systems, and so on. The reason has, almost entirely, to do with 'image.' But not because politicians are preoccupied with presenting themselves in the best possible light. After all, who isn't? It is a rare and deeply disturbed person who does not wish to project a favorable image. But television gives image a bad name. For on television the politician does not so much offer the audience an image of himself, as offer himself as an image of the audience. And therein lies one of the most powerful influences of the television commercial on political discourse.
Pablo Picasso|I'm hardnosed about luck. I think it sucks. Yeah  if you spend seven years looking for a job as a copywriter  and then one day somebody gives you a job  you can say  "Gee  I was lucky I happened to go up there today." But dammit  I was going to go up there sooner or later in the next seventy years. ... If you're persistent in trying and doing and working  you almost make your own fortune.
Henry Knox|To realize peace on the Korean peninsula, and to develop exchange, cooperation between both Koreas, they are the, you know, immediate target of our government.
Fyodor Dostoyevsky, The Brothers Karamazov|Be near your brothers. Not just one, but both of them.
Will Chancellor, A Brave Man Seven Storeys Tall|Don’t make stuff because you want to make money — it will never make you enough money. And don’t make stuff because you want to get famous — because you will never feel famous enough. Make gifts for people — and work hard on making those gifts in the hope that those people will notice and like the gifts.Maybe they will notice how hard you worked, and maybe they won’t — and if they don’t notice, I know it’s frustrating. But, ultimately, that doesn't change anything — because your responsibility is not to the people you’re making the gift for, but to the gift itself.
Julie Kagawa, Soldier|Serpentfire can burn for a very long time if the bagic is strong," said Aldric. "It's hard to handle, that kind of fire, it seems to have a mind of its own, but it can be a good tool if you have nothing else. You never, ever want to use it unless you need it. I keep it around in case of dire circumstances. I hate to admit that anything Serpentine can be useful." Absentmindedly he picked up a Dragon's claw from a pile of them on the tabe, and used it to stratch his neck.
Lynn Hersha, Secret Weapons: How Two Sisters Were Brainwashed To Kill For Their Country|As Lynn began getting psychologically better, she took me to a variety of sites. She taught me how to read trail markers. In the end, Lynn's stories could not be denied. She was not only a victim, she wanted badly to heal. As her experiences were told and worked through, as she slowly began to come to grips with her past, the personalities within her have slowly begun to heal.
George Steiner|I used to pride myself on being the first in the office in the morning and one of the last to leave at night. Now, that's so dated: It's not about effort, it's about outcomes.
