Joseph Prince|I like people and I like them to like me, but I wear my heart where God put it, on the inside.
Rebecca McNutt, Mandy and Alecto: The Collected Smog City Book Series|Well, you’re not exactly social, are you, Mandy Valems?”“Oh yeah, sure, because I’m just surrounded by genius to be social with in this day and age,” Mandy replied with razor-sharp sarcasm. “Hey, I don’t need anyone else! I’ve got you, you’re my friend, and you’ll be with me forever!”“…You won’t be with me forever, though…” said Alecto cynically. “I’m like a spider’s web; anyone who is friends with me gets dragged into my troubles and eventually dies.”“…Poetic, dear friend,” Mandy sighed, shaking her head. “Morbid, but poetic.
Gabriel García Márquez, El coronel no tiene quien le escriba|You can't eat hope,' the woman said.You can't eat it, but it sustains you,' the colonel replied.
Akiroq Brost|A situation only has the power over us that we give it. We own the power over ourselves! We own that! No one else! When we realize that: we now have a CHOICE we can make, we can STOP giving that power away! Own yourself. Own YOUR power!
Justin Halpern, I Suck at Girls|Accepting trial and error means accepting error. It means taking problems in our stride when a decision doesn't work out, whether through luck or misjudgment. And that is not something human brains seem to be able to do without a struggle.
Susan C. Young, The Art of Communication: 8 Ways to Confirm Clarity & Understanding for Positive Impact|Developing your eloquence and enunciation will reduce the likelihood of misinterpretation and misunderstanding, making your delivery more powerful.
Forrest  Carr, A Journal of the Crazy Year|Space is infinite. To the mind that means freedom, liberation.' So wrote Arisko, our greatest turkle philosopher, in his most famous work, 'Thoughts In A Bathtub'," said Dottia, dreamily, in an inspired state.
Akhenaton|Dinner was made for eating, not for talking.
Abhijit Naskar|When you are wise, peace shall follow.
Brian Greene|'The Simpsons' was about children and married parents; 'Futurama' is about people in between; they're growing up and haven't settled down. Every other cartoon show seemed to be, you know, dumb dad, bratty kids.
Michael Douglas|I spent ninety percent of my money on wine, women and song and just wasted the other ten percent.
Bruce Barton|I shall always be consistent and never change my ways so long as I am in my senses; but for the sake of precedent the Senate should beware of binding itself to support the acts of any man, since he might through some mischance suffer a change.
Emily Dickinson, The Complete Poems of Emily Dickinson|I felt a Cleaving in my Mind—As if my Brain had split—I tried to match it—Seam by Seam—But could not make it fit.The thought behind, I strove to joinUnto the thought before—But Sequence ravelled out of SoundLike Balls—upon a Floor.
Jagdish Joghee, In Love and Free: The tale of a woman caught between two men...|Our eyes met and a never-before feeling entered our hearts. We gazed at each other longingly. We were indeed smitten by each other. Even before we realised, our lips locked. Ah, my first kiss. I had heard stories of how the first kiss is etched in one’s memory forever. This was absolute bliss. I felt a sense of belonging, a sense of togetherness. He took me by surprise with his proposal of love for me. Those magical words still linger in my heart. My dream of finding the right man had become a reality.
Friedrich Nietzsche, Ecce Homo|And how does one basically recognize good development? In that a well-developed man does our senses good: that he is carved from wood which is hard, delicate, and sweet-smelling, all at the same time.
Karen Sullivan, The Complete Family Guide to Natural Home Remedies: Safe and Effective Treatments for Common Ailments|Health is more than the absence of disease. Health is about jobs and employment, education, the environment, and all of those things that go into making us healthy.
Carmen Electra|Novels set in distant places give us expectations not unlike those we have of travel writing, and often the distinctions are blurred, as in, say, the way the low life of Tokyo's Shinjuku Ward is depicted in John David Morley's recent 'Pictures from the Water Trade.'
Stephen Graham Jones|Don't wish me happiness - I don't expect to be happy it's gotten beyond that, somehow. Wish me courage and strength and a sense of humor - I will need them all.
Henry David Thoreau, Walden|If you have built castles in the air, your work need not be lost; that is where they should be. Now put the foundations under them.
Craig D. Lounsbrough, An Intimate Collision: Encounters with Life and Jesus|I want to swim in both directions at once. Desire success, court failure.
Marcha A. Fox, A Dark of Endless Days|Regrets are particularly poignant for the old, those of us who have used up most of the chances we'll ever get and are left to make peace with our failed choices. Most things distance themselves with space and time to eventually slide off the edge of our consciousness, but not regrets. You can shove them aside, disavow them for a lifetime, but they always return. And the longer you deny them, the more they punish you when they can no longer be held at bay.
