Faisal Nawaz Maitlo|Those people make us strong and then valuable, whom we do not like initially.
C.S. Lewis, The Weight of Glory|It is a serious thing to live in a society of possible gods and goddesses, to remember that the dullest most uninteresting person you can talk to may one day be a creature which,if you saw it now, you would be strongly tempted to worship, or else a horror and a corruption such as you now meet, if at all, only in a nightmare. All day long we are, in some degree helping each other to one or the other of these destinations. It is in the light of these overwhelming possibilities, it is with the awe and the circumspection proper to them, that we should conduct all of our dealings with one another, all friendships, all loves, all play, all politics. There are no ordinary people. You have never talked to a mere mortal. Nations, cultures, arts, civilizations - these are mortal, and their life is to ours as the life of a gnat. But it is immortals whom we joke with, work with, marry, snub, and exploit - immortal horrors or everlasting splendors.
Thomas Carlyle|Why worry? If you've done the very best you can, worrying won't make it any better
Jennifer Melzer, Beauty and Other Dangerous Things|I hold the key to his heart right here." He lifted a briefcase from his side to show her. "All we have to do is wind it up again.
Charles Bukowski, The Captain is Out to Lunch and the Sailors Have Taken Over the Ship|I guess I´m too used to sitting in a small room and making words do a few things. I see enough of humanity at the racetracks, the supermarkets, gas stations, freeways, cafes, etc. This can´t be helped. But I feel like kicking myself in the ass when I go to gatherings, even if the drinks are free. It never works for me. I´ve got enough clay to play with. People empty me. I have to get away to refill. I´m what´s best for me, sitting here slouched, smoking a beedie and watching this creen flash the words. Seldom do you meet a rare or interesting person. It´s more than galling, it´s a fucking constant shock. It´s making a god-damned grouch out of me. Anybody can be a god-damned grouch and most are. Help!
Thomas Sowell|When the people become involved in their government, government becomes more accountable, and our society is stronger, more compassionate, and better prepared for the challenges of the future.
Omar Khayyám, The Ruba'iyat of Omar Khayyam|Wake! For the Sun, who scatter'd into flightThe Stars before him from the Field of Night,Drives Night along with them from Heav'n,and strikesThe Sultan's Turret with a Shaft of Light
Frank Herbert, Dune|Sometimes, it takes more courage to be weak.
Michael  Sanders, Ayahuasca: An Executive's Enlightenment|Every time I gaze at stars above, I feel small, big, infinite and connected all at the same time, and tonight on the Amazon is no different.
Mohsin Hamid, How to Get Filthy Rich in Rising Asia|Putting words onto paper—when it is done as an honest act of search or connection, rather than as an act of manipulation, performance, self-aggrandizement or self-protection—is a holy act.
David P. Ingerson|I think lots of things, Denny, and I dismiss nothing. When I know, then I'll act.
Rosie Sultan, Helen Keller in Love|The street to my left was backed up with traffic and I watched the people waiting patiently in the cars. There was almost always a man and a women, staring straight ahead, not talking. It was, finally, for everyone, a matter of waiting. You waited and you waited- for the hospital, the doctor, the plumber, the madhouse, the jail, papa death himself. First the signal red, then the signal was green. The citizens of the world ate food and watched t.v. and worried about their jobs or lack of the same, while they waited.
Richelle E. Goodrich, Slaying Dragons|Hate is loud. Love, however, is so pleasantly felt it has no need to be heard.
Nina Trahan, Billionaire Omissions: Book Three|When death is imminent remember - this is not a dress rehearsal, the time is now, share your love!
Ice-T|Yet it is true—skin can mean a great deal. Mine means that any man may strike me in a public place and never fear the consequences. It means that my friends do not always like to be seen with me in the street. It means that no matter how many books I read, or languages I master, I will never be anything but a curiosity—like a talking pig or a mathematical horse.
Coldplay, Coldplay: Viva la Vida Or Death And All His Friends|You might be a big fish in a little pond,Doesn't mean you've won'Coz along may come a bigger one.
