Thomas Huxley|I'm not broke. Like everybody else, I owe money.
Steven Pinker, The Better Angels of Our Nature: Why Violence Has Declined|During a famine, the father and stepmother of Hansel and Gretel abandon them in a forest so that they will starve to death. The children stumble upon an edible house inhabited by a witch, who imprisons Hansel and fattens him up in preparation for eating him. Fortunately Gretel shoves the witch into a fiery oven, and “the godless witch burned to death in a horrible way.” 41 • Cinderella’s stepsisters, when trying to squeeze into her slippers, take their mother’s advice and cut off a toe or heel to make them fit. Doves notice the blood, and after Cinderella marries the prince, they peck out the stepsisters’ eyes, punishing them “for their wickedness and malice with blindness for the rest of their lives.” Snow White arouses the jealousy of her stepmother, the queen, so the queen orders a hunter to take her into the forest, kill her, and bring back her lungs and liver for the queen to eat. When the queen realizes that Snow White has escaped, she makes three more attempts on her life, two by poison, one by asphyxiation. After the prince has revived her, the queen crashes their wedding, but “iron slippers had already been heated up for her over a fire of coals.... She had to put on the red-hot iron shoes and dance in them until she dropped to the ground dead.
Edward Cline, Hugh Kenrick|If you feel pride in what you wish to achieve. The desire to achieve more never remains a desire, it becomes a self-commitment to attain greater achievements.
Linda Wells~Harr|We do not have to believe something is right- to believe a person has a right to choose it. God doesn't force us to serve him. It is a freewill choice we make, so why in the name of all that is holy and right do we think we can force other people to live by our particular brand of religion? We are commanded to Love if we are Christ servers.
Ellen Wittlinger|To grow up, a man must stand apart not only from his mother but from his fellows. Human achievement, according to this perspective, is always to be measured in difference, who is the fastest, the most handsome, the richest. The quarrel between Achilles and Agamemnon highlights this way of looking at human achievement. Not only do the two men compete for the most honor, symbolized by possessions, but they see their contest as a zero-sum game. That is, they—and all the other warriors—assume that there is a finite amount of honor available, so that if one man gets more, then someone else gets less.Achilles, with his semidivine nature and abundant physical gifts, would seem to be an example of a man fully equipped for success in this system. And yet, Achilles does not prosper in the world of the poem. As he pursues honor and status among his fellows, he becomes more and more isolated, the price of distinction in a competitive society.
Ryan Seacrest|No one has got close enough to use or abuse me, and even if they did, I wouldn't get too emotional about it. The only thing I ever get emotional about is my family. I am kind to everyone but I trust no one. That keeps me from getting hurt.
Sylvain Reynard, The Raven|In other words, Botticelli's ideal women look like women and not boys. They're soft and curvaceous. Healthy and rounded. Women of the size figured in this painting were considered beautiful for centuries, if not millennia. They were the aesthetic ideal during my lifetime and long after."He brought his mouth to her neck before whispering, "My ideal hasn't changed.
Debasish Mridha|Nothing happens easily in our lives. To get something, you have to attract it with the power of your love.
Ashley Tisdale|If you look at my movie career, I do switch it up a lot. I'm always looking for a lot of different parts. It's been a while since I've been in a situation that was romantic.
Amy King, Slaves to Do These Things|I had a theory; I’m not sure if it was my own but it worked for me. Public spaces, such as streets and subway stations, became inhabitable as I assigned them some value and imprinted an experience on them. If I recited a snatch of Paterson every time I walked along a certain avenue, eventually that avenue would sound like William Carlos Williams. The entrance to the subway at 116th Street was Emily Dickinson’s:Presentiment is that long shadow on the lawnIndicative that suns go down;The notice to the startled grassThat darkness is about to pass.
Drexel Deal, The Fight of My Life is Wrapped Up in My Father|Simple question,' Uncle Todd repeated. 'Do you deserve respect?''Yeah,' Dylan answered.'Well, you're never deserving of any more respect in life than you give. I don't see you showing the world much respect. Until you show the world respect, the world won't respect you, and neither will I.
