Jules Renard|Old age is like a plane flying through a storm. Once you're aboard, there's nothing you can do.
David Cameron Gikandi, A Happy Pocket Full of Money: Infinite Wealth and Abundance in the Here and Now|All other things held constant, to the extent that an individual or society sees, believes in, and acts in abundance, so will it have wealth and happiness.
Liz Crowe, Closing Costs|She reached for the milk and honey soap, then poured it into the puff, but when she started washing him with it, he chuckled.“Uh, sweetheart?”“Hmm?” Candice mumbled as she stared at some interesting spot on his arm.“Real men don’t use puffs,” he said, amused and turned on by having Candice’s undivided attention.She finally managed to drag her gaze away from his forearm and stared at him as if he’d lost his mind. “You can’t be serious?” When he only shrugged, she rolled her eyes. “What does it matter what I use, so long as you’re clean?”“It matters, believe me.” Blade knew he sounded absurd but he couldn’t help it. It was bad enough he’d let her put bandages on a few measly cuts; if word got out he’d let her use a peach-colored puff and milk-and-honey bath soap he’d never hear the end of it.A man had to put his foot down somewhere.
Dada Bhagwan|After coming into the human life form, if one stays as the Self [Soul] and does not interfere in the discharging karmas, he will indeed go to moksha. And if he interferes, he will incarnate in a different life form.
Iain Pears, Arcadia|Lying," he said out loud, hoping no one would hear. "I need to lie. Teach me, quickly."I wouldn't if I were you, came the response. For a start, it's a variable concept here. You are in a culture where ambiguity has been raised to a high level. Let me give an example: depending on phrasing, circumstance, expression, body movement, intonation and context, the statement "I love you" can mean I love you; I don't love you; I hate you; I want to have sex with you; I do, in fact, love your sister; I don't love you any more; leave me alone, I'm tired, or I'm sorry I forgot your birthday. The person being talked to would instantly understand the meaning but might choose to attribute an entirely different meaning to the statement. Lying is a social act and the nature and import of the lie depends in effect on an unspoken agreement between the parties concerned. Please note that this description does not even begin to explore the concept of deep lies, in which the speaker simultaneously says something he knows to be untrue and genuinely believes it nonetheless: politicians are particularly adept at this.
Fernando Pessoa|There is not much you can say about a baby unless you are talking with its father or another mother or nurse; infants are not part of the realm of ordinary language, talk is inadequate to them as they are inadequate to talk.
Ben Mikaelsen, Touching Spirit Bear|There is one key area in which Zuma has made no attempt at reconciliation whatsoever: criminal justice and security. The ministers of justice, defence, intelligence (now called 'state security' in a throwback to both apartheid and the ANC's old Stalinist past), police and communications are all die-hard Zuma loyalists. Whatever their line functions, they will also play the role they have played so ably to date: keeping Zuma out of court—and making sure the state serves Zuma as it once did Mbeki.
Noël Coward, A Talent To Amuse: A Biography Of Noël Coward|If by any chance a playwright wishes to express a political opinion or a moral opinion or a philosophy, he must be a good enough craftsman to do it with so much spice of entertainment in it that the public get the message without being aware of it.
Thomas Merton, Thoughts in Solitude|I think we can learn a lot about a person in the very moment that language fails them. In the very moment they they have to be more creative than they would have imagined in order to communicate. It's the very moment that they have to dig deeper than the surface to find words, and at the same time, it's a moment when they want to communicate very badly. They're digging deep and projecting out at the same time.
David G. McAfee|On the first day, man created God
Louise Penny, The Brutal Telling|Finding this, she was much perplexed as to Henchard's motives in opening the matter at all; for in such cases we attribute to an enemy a power of consistent action which we never find in ourselves or or in our friends...
Elizabeth Cady Stanton, Solitude of Self|How the little courtesies of life on the surface of society, deemed so important from man towards woman, fade into utter insignificance in view of the deeper tragedies in which she must play her part alone, where no human aid is possible.
