Victoria Schwab, Our Dark Duet|If you want to prosper, prosper God.
Mohammed Zaki Ansari, "Zaki's Gift Of Love"|I know stating my observation aloud is considered fresh, an indiscrete come-on, but frankly I think more people should hear the truth about themselves. Screw what society thinks, right?” – Jack Buchanan
Joshua S. Porter, The Spinal Cord Perception|No one can ever use his heart to listen or touch or feel or see or smell. It's just a lump of muscle pumping mechanically inside your ribs. It has no will and no ability to do anything but go on pumping until it gives up and withers away or is choked by some disease. Your spinal cord, on the other hand, feels. The central nervous system pours out from the spinal cord, and with it one feels pain. Pain is the most trustworthy sensation a human being can know because it teaches us what hurts. With the spinal cord, one can hear what will hurt, smell the sting of suffering, taste it, feel it, and see the world with new eyes. I learned a long time ago not to follow my heart, the hunk of meat flexing in the chest. I trust the tube locked up in a column of bone, the tube that shows me what pain is.
Alok Jagawat|In the process of looking at broken paths, we often forget the lights that illuminates that path.
Rachel Hawkins, Spell Bound|The spell...curled around...like smoke before settling in.Sophie: "Okay, do you guys feel protected?"Archer: "Yes. Also a little violated, but that's neither here nor there.
Sarah J. Maas, A Court of Mist and Fury|If you were going to die, I was going to die with you. I couldn't stop thinking it over and over as you screamed, as I tried to kill her: you were my mate my mate my mate.
John Piper, When I Don't Desire God: How to Fight for Joy|The Church, like her head, has a glory, but it is concealed from carnal eyes, for the time of her breaking forth in all her splendour is not yet come.
Grace Metalious|Did I read because I was lonely, or was I lonely because I started to read?
James Madison|Of all the enemies to public liberty war is, perhaps, the most to be dreaded, because it comprises and develops the germ of every other.
Billy Graham, Billy Graham in Quotes|Confrontation is the special business of young people. They confront their parents, peers, society, law enforcement officers, and themselves, but primarily they confront God.
Elle Kennedy, Midnight Rescue|Falling in love is not based on the length of time you spend together; it’s based on the innate mindfulness of each other’s joy. If you are true soul mates, you never meet as strangers, you meet feeling like you’ve known each other forever. You feel at peace, calm, happy—you feel complete.
Selma Blair|My parents and my sister died... very close together, and after that, I lost quite a bit of my sense of humor. Most of it I think has kind of come back, but I know there was a time when I didn't think things were funny anymore. I kind of think they're funny again.
Deyth Banger|I just met Stephen King in my dreams... I just said what I have watched and read from his books... Mainly I received a hug from him, it was like we are friends from long time.
Sterling Marlin|Never make your home in a place. Make a home for yourself inside your own head. You'll find what you need to furnish it - memory, friends you can trust, love of learning, and other such things. That way it will go with you wherever you journey.
Tom Brady|Advertising must respect the intelligence of its audience and if it does not prompt them to think, it will be instantly dismissed.
Israel Zangwill|Without God, democracy will not and cannot long endure.
Micheline Jean Louis|The wind has many lovers and I am one of them, I move freely in her armsI know no chains, nor bound to anyone’s truth, you can call me a harlot of the wind, I take no offense, because I know at the end of my days, my face will show that I have been kissed by the breath of GOD.~Micheline Jean louis
John Holt, How Children Fail|For many years I have been asking myself why intelligent children act unintelligently at school. The simple answer is, "Because they're scared." I used to suspect that children's defeatism had something to do with their bad work in school, but I thought I could clear it away with hearty cries of "Onward! You can do it!" What I now see for the first time is the mechanism by which fear destroys intelligence, the way it affects a child's whole way of looking at, thinking about, and dealing with life. So we have two problems, not one: to stop children from being afraid, and then to break them of the bad thinking habits into which their fears have driven them.What is most surprising of all is how much fear there is in school. Why is so little said about it. Perhaps most people do not recognize fear in children when they see it. They can read the grossest signs of fear; they know what the trouble is when a child clings howling to his mother; but the subtler signs of fear escaping them. It is these signs, in children's faces, voices, and gestures, in their movements and ways of working, that tell me plainly that most children in school are scared most of the time, many of them very scared. Like good soldiers, they control their fears, live with them, and adjust themselves to them. But the trouble is, and here is a vital difference between school and war, that the adjustments children make to their fears are almost wholly bad, destructive of their intelligence and capacity. The scared fighter may be the best fighter, but the scared learner is always a poor learner.
