David Archuleta, Chords of Strength: A Memoir of Soul, Song and the Power of Perseverance|I made up my mind not to care so much about the destination, and simply enjoy the journey.
Louis XIV|Yesterday, December seventh, 1941, a date which will live in infamy, the United States of America was suddenly and deliberately attacked by naval and air forces of the Empire of Japan. We will gain the inevitable triumph, so help us God.
Ken Poirot|Never quit on your dream, but learn to cut your losses and quit your plan if it is not working.
Anuradha Bhattacharyya, The Road Taken|Maybe, peace was preferable to pleasure. Maybe, peace is one’s first love.
Abhijit Naskar|When Mother Nature speaks, even the Gods hold silence.
Grant Hill|I guess there is nothing that will get your mind off everything like golf. I have never been depressed enough to take up the game, but they say you get so sore at yourself you forget to hate your enemies.
Bradley Wiggins|There was always a feeling for me that it would work. That's what keeps me going. You go in with a positive attitude and stay there, and that's a big part of what does make it work.
Henry V. O'Neil, Live Echoes|You may never find out who reported you. If your child has been hurt, his teacher or doctor may have called the state child-abuse hotline, not wanting to assume, as she might in a richer neighbourhood, that it was an accident. But it could also have been a neighbour who heard yelling, or an ex-boyfriend who wants to get back at you, or someone who thinks you drink too much or simply doesn't like you. People know that a call to the hotline is an easy to blow up your life'.(Kiedy moi przyjaciele/znajomi zrobili mały, głupi wybryk w Warszawie, bez namysłu zeznałam na policji, że nic się nie stało oraz że to samochody od nich się odbijały. Taka sama wspaniałomyślność często może nie działać jednak w drugą stronę.)
Darcey Bussell|Listen to my advice; I have some experience. In a way, it is me being a teacher, which is what I wanted to be. I still feel I could go into teaching. What is teaching but passing on your knowledge to those who are at the beginning? Some people are born with that gift.
Eleanor Morse, White Dog Fell from the Sky|I like my fellow man, but I also realize he carried a good measure of the Old Nick in him and he can find a good excuse for almost any kind of wrongdoing or mischief.
C.S. Lewis, Mere Christianity|Human beings, all over the earth, have this curious idea that they ought to believe in a certain way, and can't really get rid of it.
Alistair Brownlee|My most memorable teacher was Rich Campe, my third-grade teacher at Fairlands Elementary in Pleasanton, California.
Mark Twain|But one day you're going to wake up to the smell of a friend making burnt toast and warm coffee, and you're going to smile with relief knowing you made it. Knowing somebody found ways to love you.
J.C. Patrick, The Reinvention of Janey|The Mob essentially created the term 'stand-up comic'—according to eighty-six-year-old comedian Dick Curtis: 'The Outfit used to manage fighters. A stand-up fighter is a guy that is a puncher. A stand-up guy was a guy who was tough and you could depend on. The Outfit managed fighters and they managed clubs that booked comics, so the term found its way into the lexicon of nightclubs. A guy who just stood there and punched jokes—joke, joke, joke—he was a stand-up comic.
Bill Burr|People who have not done their research on me do not know that I am European, born in Copenhagen, Denmark to an Italian father from Napoli and a mother from Alabama who was singing opera and went to Europe, met my dad, fell in love, and then moved back to Rome, where I was raised, between Rome and Hamburg.
Junaid Raza|As if it would slide off their brains at an angle, leaving a scuff mark.
Dean Koontz, False Memory|Language can't describe reality. Literature has no stable reference, no real meaning. Each reader's interpretation is equally valid, more important than the author's intention. In fact, nothing in life has meaning. Reality is subjective. Values and truths are subjective. Life itself is a kind of illusion. Blah, blah, blah, let's have another scotch.
Gordon Neufeld, Hold On to Your Kids: Why Parents Need to Matter More Than Peers|Unconditional parental love is the indespensible nutrient for the child's healthy emotional growth. The first task is to create space in the child's heart for the certainty that she is precisely the person the parents want and love. She does not have to do anything or be any different to earn that love - in fact, she cannot do anything, since that love cannot be won or lost...The child can be ornery, unpleasant, whiny, uncooperative, and plain rude, and the parent still lets her feel loved. Ways have to be found to convey the unacceptability of certain behaviors without making the child herself feel unaccepted. She has to be able to bring her unrest, her least likable characteristics to the parent and still receive the parent's absolutely satisfying, security-inducing unconditional love.
