Tim O'Brien, The Things They Carried|Men killed, and died, because they were embarrassed not to.
Richie Norton|People love to say, “You gotta fake it till you make it.” But this implies that the fake you is someone better than who you inherently are, and this is simply not the truth. Let me say this loud and clear: the person you imagine yourself to be in the very best and most powerful moments of your life, is the authentic you. And in truth, I imagine you’re probably much more amazing even than that.
Libba Bray, The Sweet Far Thing|Eventually, we all end up alone.
John Berger|Our government is founded upon the intelligence of the people. I for one do not despair of the republic. I have great confidence in the virtue of the great majority of the people, and I cannot fear the result.
Robin M. Bertram|Sometimes the right thing to do will cost us our greatest sacrifices, but the rewards will always outweigh our losses
Fulton J. Sheen, Three to Get Married|Each instinct and passion of man is amoral; it is only the abuse of these passions that makes them wrong. There is nothing wrong about hunger, but there is something wrong about gluttony; there is no sin in thirst, but there is a sin in drunkenness; there is nothing wrong with a man who seeks economic security, but there is something wrong with a man who is avaricious; there is nothing to be despised in knowledge, but there is something to be condemned in pride; there is nothing wrong with the flesh, but there is something wrong in the abuse of the flesh. Just as dirt is matter in the wrong place, so sin is flesh in the wrong place. Sex has its place in that area of life designed for its fruition, but the misuse of it outside of that natural and supernatural bond is wrong.
Tatiana Maslany|On 'The Simpsons,' I will say that we definitely like to comment on what's going on in the world, and we try to be funny. If we can figure out a way of being funny about it, then we've gone part of the way of accomplishing our task.
Jennifer Niven, All the Bright Places|I walk through the black Indiana night, under a ceiling of stars, and think about the phrase "elegance and euphoria," and how it describes exactly what I feel with Violet. For once, I don't want to be anyone but Theodore Finch, the boy she sees. He understands what it is to be elegant and euphoric and a hundered different people most of them flawed and stupid, part asshole, part screwup, part freak, a boy who wants to be easy for the folks around him so that he doesn't worry them and, most of all, easy for himself. A boy who belongs - here in the world, here in his own skin. He is exactly who I want to be and what I want my epitaph to say: The Boy Violet Markey Loves.
Niall Shanks|As the neo-cortex of the brain keeps getting more complex through further evolution, eventually our far away progeny will born in a world where there will be no more religion to be endowed upon them.
Cleary James, The Endgame|I'm Used To, Being Used, Not Abused.
Massad Ayoob, Gun Safety in the Home|If you have the opportunity to help, then you have the responsibility to do it, do what is right simply because it is the right thing to do
Julie B.  Campbell, Finding Manda's Sunshine|Mother Teresa once said, "Loneliness and the feeling of being unwanted are the greatest poverty." To this I will add: Please believe that one single positive dream is more important than a thousand negative realities.
Jon Meacham|I have very little faith that I'll ever find someone. I've had some bad luck and I've made some bad choices - not in men, but in how I've chosen to deal with relationships.
Mitch Albom, For One More Day|Sometimes your kids will say the nastiest things, won't they, Rose? You want to ask,'Whose child is this?'"Rose chuckled."But usually, they're just in some kind of pain. They need to work it out.
Justin Alcala|Being an independent modern day diva is cute...BUT being dedicated, faithful, willing to face the world together, monogamous, honest, family orientated, caring, nurturing, dependable, affectionate, easy to work with, hard working, and a woman I can call my own...is down right sexy. BUT THAT'S JUST MY HUMBLE OPINION
